baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,execution_path,plan_validation_stage_failed,plan_source,operators_used,ff_fast_path_used,ff_fast_path_latency_s,ff_fast_path_input_tokens,ff_fast_path_output_tokens,ff_fast_path_cost_usd,ff_planner_used,ff_planner_latency_s,ff_planner_input_tokens,ff_planner_output_tokens,ff_planner_cost_usd,s1_latency_s,s2_latency_s,s3_latency_s,guardrail_latency_s,typed_exec_latency_s,agent_latency_s,s1_latency_ms,s2_latency_ms,s3_latency_ms,guardrail_latency_ms,typed_exec_latency_ms,agent_latency_ms
FLASH_FUSION,1,1.0,llm_judge_score,3.5461061000823975,0.00418392,3927,112,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_COMPARE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,True,3.411979913711548,3927,112,0.00418392,0.0,0.0,0.0,3.411999225616455,0.03800821304321289,0.0,0.0,0.0,0.0,3411.999225616455,38.00821304321289,0.0
FLASH_FUSION,2,1.0,llm_judge_score,3.0174107551574707,0.006554145,6359,112,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_COMPARE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,True,2.983289957046509,6359,112,0.006554145,0.0,0.0,0.0,2.9833109378814697,0.033349037170410156,0.0,0.0,0.0,0.0,2983.3109378814697,33.349037170410156,0.0
FLASH_FUSION,3,1.0,llm_judge_score,2.9594061374664307,0.00196248,1573,131,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_COMPARE,FILTER_COMPARE,COUNT_ROWS",False,0.0,0,0,0.0,True,2.9150750637054443,1573,131,0.00196248,0.0,0.0,0.0,2.9150969982147217,0.04363107681274414,0.0,0.0,0.0,0.0,2915.0969982147217,43.63107681274414,0.0
FLASH_FUSION,4,1.0,llm_judge_score,3.190823554992676,0.001119144,3932,132,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_COMPARE,FILTER_NOT_EMPTY,AGGREGATE_COLUMN",False,0.0,0,0,0.0,True,3.0597429275512695,3932,132,0.001119144,0.0,0.0,0.0,3.059770107269287,0.13022994995117188,0.0,0.0,0.0,0.0,3059.770107269287,130.22994995117188,0.0
FLASH_FUSION,5,1.0,llm_judge_score,4.99142050743103,0.00163917,6368,215,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_COMPARE,FILTER_NOT_EMPTY,DERIVE_BIN,GROUP_AGGREGATE,AGGREGATE_GROUPS",False,0.0,0,0,0.0,True,4.2681450843811035,6368,215,0.00163917,0.0,0.0,0.0,4.26816201210022,0.7219939231872559,0.0,0.0,0.0,0.0,4268.16201210022,721.9939231872559,0.0
FLASH_FUSION,6,1.0,llm_judge_score,5.056466341018677,0.00917631,8427,267,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"PARALLEL_AGGREGATE,DERIVE_BINARY,RANK_ROWS",False,0.0,0,0,0.0,True,3.952677011489868,8427,267,0.00917631,0.0,0.0,0.0,3.9526939392089844,1.1030240058898926,0.0,0.0,0.0,0.0,3952.6939392089844,1103.0240058898926,0.0
FLASH_FUSION,7,1.0,llm_judge_score,4.11039924621582,0.00159393,6360,205,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_COMPARE,FILTER_NOT_EMPTY,DERIVE_BIN,GROUP_AGGREGATE,RANK_GROUPS",False,0.0,0,0,0.0,True,3.326719045639038,6360,205,0.00159393,0.0,0.0,0.0,3.3267369270324707,0.7829000949859619,0.0,0.0,0.0,0.0,3326.7369270324707,782.9000949859619,0.0
FLASH_FUSION,8,1.0,llm_judge_score,2.8011131286621094,0.000858156,1577,112,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_COMPARE,AGGREGATE_COLUMN",False,0.0,0,0,0.0,True,2.760745048522949,1577,112,0.000858156,0.0,0.0,0.0,2.7607650756835938,0.03962397575378418,0.0,0.0,0.0,0.0,2760.7650756835938,39.62397575378418,0.0
FLASH_FUSION,9,1.0,guardrail_skip_expected_rejection,2.374584913253784,0.00898599,9065,59,False,True,N/A,guardrail_plan,guardrail_reject,,llm,,False,0.0,0,0,0.0,True,2.3739688396453857,9065,59,0.00898599,0.0,0.0,0.0,2.3739919662475586,0.0,0.0,0.0,0.0,0.0,2373.9919662475586,0.0,0.0
FLASH_FUSION,10,1.0,guardrail_skip_expected_rejection,2.3045401573181152,0.00599469,6028,51,False,True,N/A,guardrail_plan,guardrail_reject,,llm,,False,0.0,0,0,0.0,True,2.3039796352386475,6028,51,0.00599469,0.0,0.0,0.0,2.304011821746826,0.0,0.0,0.0,0.0,0.0,2304.011821746826,0.0,0.0
