baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,execution_path,plan_validation_stage_failed,plan_source,operators_used,ff_fast_path_used,ff_fast_path_latency_s,ff_fast_path_input_tokens,ff_fast_path_output_tokens,ff_fast_path_cost_usd,ff_planner_used,ff_planner_latency_s,ff_planner_input_tokens,ff_planner_output_tokens,ff_planner_cost_usd,s1_latency_s,s2_latency_s,s3_latency_s,guardrail_latency_s,typed_exec_latency_s,agent_latency_s,s1_latency_ms,s2_latency_ms,s3_latency_ms,guardrail_latency_ms,typed_exec_latency_ms,agent_latency_ms
FLASH_FUSION,1,1.0,llm_judge_score,1.9866728782653809,0.0001189,1081,54,True,False,N/A,fast_path,typed_operator,,fast_path,"FILTER_IN,AGGREGATE_COLUMN",True,1.5350010395050049,1081,54,0.0001189,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.00573420524597168,0.00573420524597168,0.0,0.0,0.0,0.0,5.73420524597168,5.73420524597168
FLASH_FUSION,2,0.0,llm_judge_score,1.176896095275879,0.0001153,1075,39,True,False,N/A,fast_path,typed_operator,,fast_path,"FILTER_IN,COUNT_ROWS",True,0.7586569786071777,1075,39,0.0001153,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.06225728988647461,0.06225728988647461,0.0,0.0,0.0,0.0,62.25728988647461,62.25728988647461
FLASH_FUSION,3,1.0,llm_judge_score,1.5243830680847168,0.0001233,1083,75,True,False,N/A,fast_path,typed_operator,,fast_path,"FILTER_IN,FILTER_IN,AGGREGATE_COLUMN",True,1.0891447067260742,1083,75,0.0001233,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0055768489837646484,0.0055768489837646484,0.0,0.0,0.0,0.0,5.576848983764648,5.576848983764648
FLASH_FUSION,4,0.0,llm_judge_score,1.0314500331878662,0.0003273,1057,34,True,False,N/A,fast_path,typed_operator,,fast_path,AGGREGATE_COLUMN,True,0.6179027557373047,1057,34,0.0003273,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0010428428649902344,0.0010428428649902344,0.0,0.0,0.0,0.0,1.0428428649902344,1.0428428649902344
FLASH_FUSION,5,1.0,llm_judge_score,21.717189073562622,0.0021794559999999998,10148,955,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"DERIVE_VECTOR_MAGNITUDE,SPLIT_BY_VALUES,SPLIT_BY_VALUES,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",False,15.75520634651184,1095,716,0.0002527,True,5.355256080627441,9053,239,0.001926756,0.0,0.0,0.0,5.3552751541137695,0.18992376327514648,0.18992376327514648,0.0,0.0,0.0,5355.2751541137695,189.92376327514648,189.92376327514648
FLASH_FUSION,6,1.0,llm_judge_score,8.904437065124512,0.0026780560000000003,10168,407,True,False,N/A,"guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_NOT_EMPTY,DERIVE_DURATION_SECONDS,PARALLEL_AGGREGATE,DERIVE_BINARY,FILTER_COMPARE,RANK_ROWS",False,0.4782109260559082,1105,6,0.0001117,True,6.982785701751709,9063,401,0.002566356,0.0,0.0,0.0,6.982808828353882,1.0071239471435547,1.0071239471435547,0.0,0.0,0.0,6982.808828353882,1007.1239471435547,1007.1239471435547
FLASH_FUSION,7,1.0,llm_judge_score,15.885088205337524,0.002577936,10592,424,True,False,N/A,"guardrail_plan,react_fallback,agent",react_fallback,schema,llm,,False,2.6148529052734375,1062,162,0.0003672,True,3.275973081588745,9041,112,0.001422096,0.0,0.0,0.0,3.2759900093078613,0.0,9.56588888168335,0.0,0.0,0.0,3275.9900093078613,0.0,9565.88888168335
FLASH_FUSION,8,0.0,llm_judge_score,3.8764841556549072,0.0001203,1085,59,True,False,N/A,fast_path,typed_operator,,fast_path,"FILTER_IN,AGGREGATE_COLUMN",True,3.4019248485565186,1085,59,0.0001203,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.035989999771118164,0.035989999771118164,0.0,0.0,0.0,0.0,35.989999771118164,35.989999771118164
FLASH_FUSION,9,1.0,guardrail_skip_expected_rejection,12.482152938842773,0.001368676,10126,76,False,True,N/A,guardrail_plan,guardrail_reject,,llm,,False,8.006781101226807,1084,6,0.0001096,True,4.033802032470703,9042,70,0.001259076,0.0,0.0,0.0,4.033822298049927,0.0,0.0,0.0,0.0,0.0,4033.8222980499268,0.0,0.0
FLASH_FUSION,10,1.0,guardrail_skip_expected_rejection,5.4547789096832275,0.001361756,10128,74,False,True,N/A,guardrail_plan,guardrail_reject,,llm,,False,2.0115487575531006,1085,6,0.0001097,True,3.027508020401001,9043,68,0.001252056,0.0,0.0,0.0,3.027534008026123,0.0,0.0,0.0,0.0,0.0,3027.534008026123,0.0,0.0
