baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,s1_latency_s,s2_latency_s,s3_latency_s,guardrail_latency_s,agent_latency_s,s1_latency_ms,s2_latency_ms,s3_latency_ms,guardrail_latency_ms,agent_latency_ms
FLASH_FUSION,1,1.0,llm_judge_score,19.79949402809143,0.00163959,5265,124,True,False,N/A,"S1,S2,guardrail,S3,deterministic_exec,synthesis",1.042189121246338,0.5771729946136475,2.319941997528076,11.044759035110474,0.03023695945739746,1042.189121246338,577.1729946136475,2319.941997528076,11044.759035110474,30.23695945739746
FLASH_FUSION,2,1.0,llm_judge_score,14.211629867553711,0.0016753100000000002,5343,137,True,False,N/A,"S1,S2,guardrail,S3,deterministic_exec,synthesis",0.7803409099578857,1.3768560886383057,2.765460968017578,4.307053089141846,0.03691697120666504,780.3409099578857,1376.8560886383057,2765.460968017578,4307.053089141846,36.91697120666504
FLASH_FUSION,3,1.0,llm_judge_score,13.792655229568481,0.0017145600000000002,5355,214,True,False,N/A,"S1,S2,guardrail,S3,deterministic_exec,synthesis",0.903148889541626,2.767704725265503,1.0143170356750488,4.615349054336548,0.040161848068237305,903.148889541626,2767.704725265503,1014.3170356750488,4615.349054336548,40.161848068237305
FLASH_FUSION,4,1.0,llm_judge_score,24.046247005462646,0.00167183,5315,147,True,False,N/A,"S1,S2,guardrail,S3,deterministic_exec,synthesis",0.6798510551452637,0.9823880195617676,12.668226957321167,4.531023025512695,0.039602041244506836,679.8510551452637,982.3880195617676,12668.226957321167,4531.023025512695,39.602041244506836
FLASH_FUSION,5,0.0,guardrail_skip_unexpected_rejection,12.194155931472778,0.0007083599999999999,3568,83,False,True,N/A,"S1,S2,guardrail",0.7294089794158936,1.5177769660949707,0.0,6.2301881313323975,0.0,729.4089794158936,1517.7769660949707,0.0,6230.1881313323975,0.0
FLASH_FUSION,6,0.0,llm_judge_score,66.49295687675476,0.00136045,4533,533,True,False,N/A,"S1,S2,guardrail,S3_skipped_unsupported_derived_stat,react_delegate,agent,synthesis",1.0406417846679688,1.359637975692749,0.0,5.0157389640808105,53.705390214920044,1040.6417846679688,1359.637975692749,0.0,5015.738964080811,53705.390214920044
FLASH_FUSION,7,0.0,llm_judge_score,27.990322828292847,0.00215096,5886,366,True,False,N/A,"S1,S2,guardrail,S3,deterministic_fallback,agent,synthesis",0.42062902450561523,1.5510380268096924,3.5074520111083984,4.029989242553711,13.919567823410034,420.62902450561523,1551.0380268096924,3507.4520111083984,4029.989242553711,13919.567823410034
FLASH_FUSION,8,1.0,llm_judge_score,35.137200117111206,0.0010785299999999999,4302,158,True,False,N/A,"S1,S2,guardrail,S3_skipped_unsupported_derived_stat,react_delegate,agent,synthesis",1.0433969497680664,0.7182900905609131,0.0,15.37171483039856,12.701443195343018,1043.3969497680664,718.2900905609131,0.0,15371.71483039856,12701.443195343018
FLASH_FUSION,9,1.0,guardrail_skip_expected_rejection,13.5382559299469,0.0007967100000000002,4652,319,False,True,N/A,"S1,S2,guardrail",3.840862274169922,1.2855701446533203,0.0,4.60806679725647,0.0,3840.862274169922,1285.5701446533203,0.0,4608.06679725647,0.0
FLASH_FUSION,10,1.0,guardrail_skip_expected_rejection,41.093461990356445,0.0008446600000000001,4638,717,False,True,N/A,"S1,S2,guardrail",23.400409936904907,8.809303045272827,0.0,5.219586133956909,0.0,23400.409936904907,8809.303045272827,0.0,5219.586133956909,0.0
FLASH_FUSION,11,1.0,guardrail_skip_expected_rejection,25.8696072101593,0.00078411,4598,226,False,True,N/A,"S1,S2,guardrail",8.249746322631836,1.6744561195373535,0.0,12.283882141113281,0.0,8249.746322631836,1674.4561195373535,0.0,12283.882141113281,0.0
FLASH_FUSION,12,1.0,guardrail_skip_expected_rejection,12.711268186569214,0.0007808600000000001,4641,261,False,True,N/A,"S1,S2,guardrail",2.1770873069763184,0.7762839794158936,0.0,6.042054891586304,0.0,2177.0873069763184,776.2839794158936,0.0,6042.054891586304,0.0
FLASH_FUSION,13,1.0,llm_judge_score,32.56742763519287,0.00090215,5030,695,True,False,N/A,"S1,S2,guardrail,S3_bypass_predictive,deterministic_exec,synthesis",20.26478600502014,3.709704875946045,0.0,3.985351800918579,0.365664005279541,20264.78600502014,3709.704875946045,0.0,3985.351800918579,365.664005279541
FLASH_FUSION,14,1.0,llm_judge_score,31.08930516242981,0.0009556699999999999,6044,305,True,False,N/A,"S1,S2,guardrail,S3_bypass_predictive,deterministic_exec,synthesis",4.6963722705841064,9.112725019454956,0.0,3.8920657634735107,8.02384901046753,4696.372270584106,9112.725019454956,0.0,3892.0657634735107,8023.849010467529
FLASH_FUSION,15,1.0,llm_judge_score,55.381574869155884,0.00206501,7496,1087,True,False,N/A,"S1,S2,guardrail,S3_skipped_unsupported_derived_stat,react_delegate,agent,synthesis",4.510148048400879,7.923413038253784,0.0,4.399890899658203,27.146042108535767,4510.148048400879,7923.413038253784,0.0,4399.890899658203,27146.042108535767
FLASH_FUSION,16,0.0,guardrail_skip_unexpected_rejection,15.5439453125,0.0008716899999999999,3866,260,False,True,N/A,"S1,S2,guardrail",1.1420409679412842,1.109696626663208,0.0,9.430644989013672,0.0,1142.0409679412842,1109.696626663208,0.0,9430.644989013672,0.0
REACT_ONLY,1,1.0,llm_judge_score,11.612914085388184,0.00027428,414,38,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REACT_ONLY,2,1.0,llm_judge_score,11.872347831726074,0.00029591999999999997,448,40,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REACT_ONLY,3,1.0,llm_judge_score,16.563652276992798,0.00028099,416,45,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REACT_ONLY,4,1.0,llm_judge_score,11.510021209716797,0.00031803999999999996,448,68,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REACT_ONLY,5,1.0,llm_judge_score,10.513849020004272,0.00028927,422,51,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REACT_ONLY,6,0.0,llm_judge_score,0.0,0.00023433,357,30,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REACT_ONLY,7,0.0,llm_judge_score,14.60831880569458,0.00037592,443,145,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REACT_ONLY,8,0.0,llm_judge_score,37.050053119659424,0.00077274,426,660,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REACT_ONLY,9,0.0,llm_judge_score,12.785890102386475,0.00031277999999999997,419,83,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REACT_ONLY,10,0.0,llm_judge_score,29.769336700439453,0.00045024,419,257,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
