query_id,query_type,baseline,accuracy_raw,latency_s,cost_usd,input_tokens,output_tokens,accuracy_percent
1,Direct,AUTOIOT_PAPER,1.0,789.4997689723969,0.02633419,28624,11957,100.0
1,Direct,AUTOIOT_PAPER,0.0,531.6218209266663,0.03335904,36772,14764,0.0
1,Direct,AUTOIOT_PAPER,1.0,1374.157999753952,0.04203289,33752,27999,100.0
2,Direct,AUTOIOT_PAPER,1.0,1051.7965099811554,0.03080452,34345,13343,100.0
2,Direct,AUTOIOT_PAPER,1.0,874.6910879611969,0.03593189,41031,14840,100.0
2,Direct,AUTOIOT_PAPER,1.0,671.8584678173065,0.02931233,32796,12611,100.0
3,Direct,AUTOIOT_PAPER,1.0,1126.170091867447,0.03639103,41840,14817,100.0
3,Direct,AUTOIOT_PAPER,0.0,224.3220179080963,0.02354933,26851,9756,0.0
3,Direct,AUTOIOT_PAPER,1.0,724.6110908985138,0.0308240199999999,34682,13116,100.0
4,Direct,AUTOIOT_PAPER,0.0,632.8416278362274,0.02492482,27601,10937,0.0
4,Direct,AUTOIOT_PAPER,1.0,1215.148401260376,0.0577959599999999,61638,27126,100.0
4,Direct,AUTOIOT_PAPER,1.0,994.092750787735,0.03359813,37358,14629,100.0
5,Reasoning,AUTOIOT_PAPER,0.0,2215.1592400074005,0.06626208,44698,50494,0.0
5,Reasoning,AUTOIOT_PAPER,0.0,855.2206530570984,0.0385332,41806,17554,0.0
5,Reasoning,AUTOIOT_PAPER,1.0,1103.2298448085785,0.04136685,44840,18875,100.0
6,Reasoning,AUTOIOT_PAPER,0.0,347.00040793418884,0.02241572,24939,9749,0.0
6,Reasoning,AUTOIOT_PAPER,0.0,980.4118700027466,0.03071135,31323,15482,0.0
6,Reasoning,AUTOIOT_PAPER,0.0,580.0623490810394,0.0289830599999999,32574,12360,0.0
7,Reasoning,AUTOIOT_PAPER,0.0,841.3469529151917,0.04186574,45549,18977,0.0
7,Reasoning,AUTOIOT_PAPER,1.0,910.8132936954498,0.04374735,43405,22960,100.0
7,Reasoning,AUTOIOT_PAPER,0.0,1257.1152040958405,0.05495379,57825,26376,0.0
8,Reasoning,AUTOIOT_PAPER,0.0,1206.8450028896332,0.03161421,33579,14940,0.0
8,Reasoning,AUTOIOT_PAPER,0.0,643.3886890411377,0.03801554,41337,17249,0.0
8,Reasoning,AUTOIOT_PAPER,0.0,804.5404872894287,0.03182465,34091,14824,0.0
9,Out-of-Scope,AUTOIOT_PAPER,0.0,1636.102544784546,0.06418335,63359,33926,0.0
9,Out-of-Scope,AUTOIOT_PAPER,0.0,1158.483892917633,0.05088942,49300,27598,0.0
9,Out-of-Scope,AUTOIOT_PAPER,0.0,814.9283909797668,0.04459483,46799,21498,0.0
10,Out-of-Scope,AUTOIOT_PAPER,0.0,746.9992887973785,0.02614136,27704,12400,0.0
10,Out-of-Scope,AUTOIOT_PAPER,1.0,432.5151491165161,0.02970675,31922,13763,100.0
10,Out-of-Scope,AUTOIOT_PAPER,1.0,731.4852108955383,0.0349466899999999,38847,15224,100.0
11,Out-of-Scope,AUTOIOT_PAPER,0.0,1320.4216978549955,0.04247855,46431,19094,0.0
11,Out-of-Scope,AUTOIOT_PAPER,0.0,1232.2692232131958,0.06729844,70895,32241,0.0
11,Out-of-Scope,AUTOIOT_PAPER,1.0,2079.434607744217,0.06709155,44868,51417,100.0
12,Out-of-Scope,AUTOIOT_PAPER,0.0,2390.4032270908356,0.07711724,71413,44283,0.0
12,Out-of-Scope,AUTOIOT_PAPER,0.0,604.1264700889587,0.03968943,40753,19804,0.0
12,Out-of-Scope,AUTOIOT_PAPER,0.0,996.4198701381684,0.05176873,51022,27425,0.0
