query_id,query_type,baseline,accuracy_raw,latency_s,cost_usd,input_tokens,output_tokens,accuracy_percent
1,Direct,AUTOIOT_PAPER,0.0,548.6703519821167,0.02743679,34645,8856,0.0
1,Direct,AUTOIOT_PAPER,1.0,327.4177372455597,0.02103697,27547,6056,100.0
1,Direct,AUTOIOT_PAPER,1.0,586.0618071556091,0.0216633,23811,9639,100.0
2,Direct,AUTOIOT_PAPER,1.0,491.5529718399048,0.03024335,36507,11018,100.0
2,Direct,AUTOIOT_PAPER,1.0,360.2818260192871,0.02299085,26752,9123,100.0
2,Direct,AUTOIOT_PAPER,0.0,288.84440875053406,0.01438613,15471,6656,0.0
3,Direct,AUTOIOT_PAPER,1.0,457.87121629714966,0.0242449,29547,8623,100.0
3,Direct,AUTOIOT_PAPER,1.0,688.3566291332245,0.01865549,19578,8993,100.0
3,Direct,AUTOIOT_PAPER,1.0,280.0162401199341,0.01637445,17806,7429,100.0
4,Direct,AUTOIOT_PAPER,1.0,423.3196868896485,0.02335655,30098,7087,100.0
4,Direct,AUTOIOT_PAPER,1.0,370.22576093673706,0.01619896,17692,7292,100.0
4,Direct,AUTOIOT_PAPER,1.0,402.3348331451416,0.01488304,14997,7639,100.0
5,Reasoning,AUTOIOT_PAPER,0.0,393.5105767250061,0.0310871299999999,39406,9921,0.0
5,Reasoning,AUTOIOT_PAPER,0.0,1751.562647819519,0.04073613,40378,21409,0.0
5,Reasoning,AUTOIOT_PAPER,1.0,596.9575061798096,0.02019348,21609,9423,100.0
6,Reasoning,AUTOIOT_PAPER,1.0,514.5526378154755,0.02847266,33704,10870,100.0
6,Reasoning,AUTOIOT_PAPER,1.0,680.7633368968964,0.02565204,26327,12809,100.0
6,Reasoning,AUTOIOT_PAPER,0.0,569.7985947132111,0.02372169,24504,11727,0.0
7,Reasoning,AUTOIOT_PAPER,1.0,767.253830909729,0.03406415,39918,13307,100.0
7,Reasoning,AUTOIOT_PAPER,1.0,470.1152260303498,0.01956507,20726,9287,100.0
7,Reasoning,AUTOIOT_PAPER,1.0,551.414803981781,0.02063683,21466,10091,100.0
8,Reasoning,AUTOIOT_PAPER,1.0,539.7970118522644,0.03831043,46305,13912,100.0
8,Reasoning,AUTOIOT_PAPER,1.0,542.6240949630737,0.02028093,21942,9285,100.0
8,Reasoning,AUTOIOT_PAPER,1.0,558.7391932010651,0.01963427,21723,8630,100.0
9,Out-of-Scope,AUTOIOT_PAPER,0.0,643.8697741031647,0.0361241,41567,14683,0.0
9,Out-of-Scope,AUTOIOT_PAPER,0.0,540.3718037605286,0.01941029,18490,10761,0.0
9,Out-of-Scope,AUTOIOT_PAPER,0.0,420.1162488460541,0.02088248,19981,11511,0.0
10,Out-of-Scope,AUTOIOT_PAPER,0.0,748.1820299625397,0.03352479,38965,13336,0.0
10,Out-of-Scope,AUTOIOT_PAPER,1.0,426.5545160770416,0.02067917,20093,11170,100.0
10,Out-of-Scope,AUTOIOT_PAPER,0.0,877.6821489334106,0.02887151,23000,19369,0.0
11,Out-of-Scope,AUTOIOT_PAPER,0.0,551.542858839035,0.03276331,41066,10803,0.0
11,Out-of-Scope,AUTOIOT_PAPER,0.0,374.9990990161896,0.02149076,23386,9738,0.0
11,Out-of-Scope,AUTOIOT_PAPER,0.0,519.1514270305634,0.01928563,20796,8881,0.0
12,Out-of-Scope,AUTOIOT_PAPER,0.0,973.1750710010529,0.04700031,52357,20392,0.0
12,Out-of-Scope,AUTOIOT_PAPER,0.0,612.5796239376068,0.02376745,23264,12711,0.0
12,Out-of-Scope,AUTOIOT_PAPER,0.0,747.3050367832184,0.03006305,30575,15220,0.0
