run_id,baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,s1_latency_s,s2_latency_s,s3_latency_s,guardrail_latency_s,agent_latency_s,s1_latency_ms,s2_latency_ms,s3_latency_ms,guardrail_latency_ms,agent_latency_ms
1,FLASH_FUSION,1,1.0,llm_judge_score,11.012999057769775,0.0027764099999999996,4521,138,True,False,N/A,"S1,S2,guardrail,S3,agent",0.7364449501037598,1.440798044204712,2.389611005783081,4.994553804397583,1.4430642127990723,736.4449501037598,1440.798044204712,2389.611005783081,4994.553804397583,1443.0642127990723
1,FLASH_FUSION,2,1.0,llm_judge_score,8.624165058135986,0.00280278,4559,143,True,False,N/A,"S1,S2,guardrail,S3,agent",0.8364596366882324,2.7559049129486084,2.121903896331787,0.7270948886871338,2.1786930561065674,836.4596366882324,2755.9049129486084,2121.903896331787,727.0948886871338,2178.6930561065674
1,FLASH_FUSION,3,1.0,llm_judge_score,8.19556188583374,0.00295823,4710,227,True,False,N/A,"S1,S2,guardrail,S3,agent",0.5889301300048828,1.943634033203125,2.6962409019470215,0.3769710063934326,2.585609197616577,588.9301300048828,1943.634033203125,2696.2409019470215,376.9710063934326,2585.609197616577
1,FLASH_FUSION,4,1.0,llm_judge_score,11.344084978103638,0.0029534599999999998,4722,212,True,False,N/A,"S1,S2,guardrail,S3,agent",0.6622409820556641,3.585658073425293,2.2961041927337646,0.8742988109588623,3.9206910133361816,662.2409820556641,3585.658073425293,2296.1041927337646,874.2988109588623,3920.6910133361816
1,FLASH_FUSION,5,1.0,llm_judge_score,28.61801505088806,0.00344125,5131,524,True,False,N/A,"S1,S2,guardrail,S3,agent",0.863008975982666,1.8418610095977783,4.0165979862213135,0.473313570022583,21.41766881942749,863.008975982666,1841.8610095977783,4016.5979862213135,473.313570022583,21417.66881942749
1,FLASH_FUSION,6,1.0,llm_judge_score,11.40699315071106,0.00340262,5178,440,True,False,N/A,"S1,S2,guardrail,S3,agent",1.0391113758087158,2.825404167175293,3.876922845840454,0.42488861083984375,3.2359559535980225,1039.1113758087158,2825.404167175293,3876.922845840454,424.88861083984375,3235.9559535980225
1,FLASH_FUSION,7,1.0,llm_judge_score,61.89457988739014,0.00398212,5875,653,True,False,N/A,"S1,S2,guardrail,S3,agent",0.8735220432281494,10.397818088531494,30.293254852294922,0.3251767158508301,20.000709056854248,873.5220432281494,10397.818088531494,30293.254852294922,325.1767158508301,20000.709056854248
1,FLASH_FUSION,8,0.0,llm_judge_score,31.964431047439575,0.00352106,5202,572,True,False,N/A,"S1,S2,guardrail,S3,agent",4.542552947998047,5.352934837341309,14.701601028442383,0.6313378810882568,6.73154091835022,4542.552947998047,5352.934837341309,14701.601028442383,631.3378810882568,6731.54091835022
1,FLASH_FUSION,9,1.0,guardrail_skip_expected_rejection,25.19097876548767,0.00150597,2357,146,False,True,N/A,"S1,S2,guardrail",14.467000007629395,9.060452938079834,0.0,1.6595659255981445,0.0,14467.000007629395,9060.452938079834,0.0,1659.5659255981445,0.0
1,FLASH_FUSION,10,1.0,guardrail_skip_expected_rejection,2.6342978477478027,0.0015481,2411,159,False,True,N/A,"S1,S2,guardrail",0.43322181701660156,0.892582893371582,0.0,1.3040940761566162,0.0,433.22181701660156,892.582893371582,0.0,1304.0940761566162,0.0
1,FLASH_FUSION,11,1.0,guardrail_skip_expected_rejection,21.21969199180603,0.00163926,2445,249,False,True,N/A,"S1,S2,guardrail",0.7142341136932373,19.018959999084473,0.0,1.4821381568908691,0.0,714.2341136932373,19018.959999084473,0.0,1482.1381568908691,0.0
1,FLASH_FUSION,12,1.0,guardrail_skip_expected_rejection,19.078500032424927,0.00175612,2548,320,False,True,N/A,"S1,S2,guardrail",1.8541021347045898,15.738302946090698,0.0,1.4822211265563965,0.0,1854.1021347045898,15738.302946090698,0.0,1482.2211265563965,0.0
2,FLASH_FUSION,1,1.0,llm_judge_score,6.382180213928223,0.0027691199999999995,4514,134,True,False,N/A,"S1,S2,guardrail,S3,agent",0.8479869365692139,1.0238957405090332,1.71583890914917,0.5389711856842041,2.2520089149475098,847.9869365692139,1023.8957405090332,1715.83890914917,538.9711856842041,2252.0089149475098
2,FLASH_FUSION,2,1.0,llm_judge_score,13.438380718231201,0.00284026,4577,177,True,False,N/A,"S1,S2,guardrail,S3,agent",0.6125547885894775,3.784766912460327,4.352427959442139,0.5608336925506592,4.123704195022583,612.5547885894775,3784.766912460327,4352.427959442139,560.8336925506592,4123.704195022583
2,FLASH_FUSION,3,1.0,llm_judge_score,11.19007396697998,0.00308551,4832,297,True,False,N/A,"S1,S2,guardrail,S3,agent",1.0108718872070312,2.8943889141082764,1.8412981033325195,0.5244889259338379,4.914690017700195,1010.8718872070312,2894.3889141082764,1841.2981033325195,524.4889259338379,4914.690017700195
2,FLASH_FUSION,4,1.0,llm_judge_score,9.191051959991455,0.00303908,4839,233,True,False,N/A,"S1,S2,guardrail,S3,agent",1.9410607814788818,2.3467841148376465,2.0195000171661377,0.49329209327697754,2.3860158920288086,1941.0607814788818,2346.7841148376465,2019.5000171661377,493.29209327697754,2386.0158920288086
2,FLASH_FUSION,5,1.0,llm_judge_score,19.8291232585907,0.0034256499999999997,5130,505,True,False,N/A,"S1,S2,guardrail,S3,agent",0.8871610164642334,5.009890794754028,3.618587017059326,0.5219159126281738,9.786910057067871,887.1610164642334,5009.890794754028,3618.587017059326,521.9159126281738,9786.910057067871
2,FLASH_FUSION,6,1.0,llm_judge_score,28.4564528465271,0.00365442,5499,519,True,False,N/A,"S1,S2,guardrail,S3,agent",4.791695833206177,3.108994960784912,17.501490831375122,0.4933891296386719,2.5565102100372314,4791.695833206177,3108.994960784912,17501.490831375122,493.3891296386719,2556.5102100372314
2,FLASH_FUSION,7,1.0,llm_judge_score,24.344183921813965,0.0038122399999999997,5650,606,True,False,N/A,"S1,S2,guardrail,S3,agent",1.5408318042755127,5.787311792373657,1.1456093788146973,5.542145013809204,10.324334859848022,1540.8318042755127,5787.311792373657,1145.6093788146973,5542.145013809204,10324.334859848022
2,FLASH_FUSION,8,0.0,llm_judge_score,20.125885009765625,0.0034110799999999995,5112,500,True,False,N/A,"S1,S2,guardrail,S3,agent",0.9925758838653564,2.3579928874969482,11.030714988708496,0.33751988410949707,5.403099060058594,992.5758838653564,2357.9928874969482,11030.714988708496,337.51988410949707,5403.099060058594
2,FLASH_FUSION,9,1.0,guardrail_skip_expected_rejection,4.576490163803101,0.00152188,2392,140,False,True,N/A,"S1,S2,guardrail",0.5469050407409668,2.10443115234375,0.0,1.9207868576049805,0.0,546.9050407409668,2104.43115234375,0.0,1920.7868576049805,0.0
2,FLASH_FUSION,10,1.0,guardrail_skip_expected_rejection,9.110360145568848,0.00153239,2375,166,False,True,N/A,"S1,S2,guardrail",1.0199871063232422,5.834358215332031,0.0,2.251521110534668,0.0,1019.9871063232422,5834.358215332031,0.0,2251.521110534668,0.0
2,FLASH_FUSION,11,0.0,llm_judge_score,34.1776237487793,0.00399201,5474,965,True,False,N/A,"S1,S2,guardrail,S3,agent",3.0695040225982666,3.1465611457824707,9.00737714767456,0.5147058963775635,18.434930086135864,3069.5040225982666,3146.5611457824707,9007.37714767456,514.7058963775635,18434.930086135864
2,FLASH_FUSION,12,1.0,guardrail_skip_expected_rejection,8.062459230422974,0.0016021399999999997,2441,205,False,True,N/A,"S1,S2,guardrail",1.0695841312408447,2.4388809204101562,0.0,4.549750089645386,0.0,1069.5841312408447,2438.8809204101562,0.0,4549.750089645386,0.0
3,FLASH_FUSION,1,1.0,llm_judge_score,7.116103887557983,0.0027446799999999998,4494,118,True,False,N/A,"S1,S2,guardrail,S3,agent",0.7017290592193604,1.9348170757293701,1.2785110473632812,1.0923099517822266,2.105098009109497,701.7290592193604,1934.8170757293701,1278.5110473632812,1092.3099517822266,2105.098009109497
3,FLASH_FUSION,2,1.0,llm_judge_score,12.275907039642334,0.00282031,4578,151,True,False,N/A,"S1,S2,guardrail,S3,agent",6.142401933670044,2.6484501361846924,1.2244889736175537,0.40747904777526855,1.8488850593566895,6142.401933670044,2648.4501361846924,1224.4889736175537,407.47904777526855,1848.8850593566895
3,FLASH_FUSION,3,1.0,llm_judge_score,7.9596779346466064,0.0029395,4697,213,True,False,N/A,"S1,S2,guardrail,S3,agent",0.7295539379119873,2.14945387840271,2.196376085281372,0.46784090995788574,2.411663055419922,729.5539379119873,2149.45387840271,2196.376085281372,467.84090995788574,2411.663055419922
3,FLASH_FUSION,4,1.0,llm_judge_score,10.121519804000854,0.00297589,4756,215,True,False,N/A,"S1,S2,guardrail,S3,agent",1.132267713546753,2.5169777870178223,4.319058895111084,0.3241539001464844,1.8250391483306885,1132.267713546753,2516.9777870178223,4319.058895111084,324.1539001464844,1825.0391483306885
