query_id,query_type,baseline,accuracy_raw,latency_s,cost_usd,input_tokens,output_tokens,accuracy_percent
1,Direct,FLASH_FUSION,1.0,20.219006061553955,0.0019061,2991,179,100.0
1,Direct,FLASH_FUSION,1.0,37.830824851989746,0.0019001799999999,2989,173,100.0
1,Direct,FLASH_FUSION,1.0,19.70778107643127,0.0019127999999999,2997,183,100.0
2,Direct,FLASH_FUSION,1.0,36.0420241355896,0.0020389799999999,3164,218,100.0
2,Direct,FLASH_FUSION,1.0,35.26886200904846,0.00210394,3250,236,100.0
2,Direct,FLASH_FUSION,1.0,20.671321153640747,0.0020476599999999,3168,226,100.0
3,Direct,FLASH_FUSION,1.0,42.64216494560242,0.0020514699999999,3145,248,100.0
3,Direct,FLASH_FUSION,1.0,82.30157399177551,0.0020461399999999,3144,242,100.0
3,Direct,FLASH_FUSION,1.0,23.545567989349365,0.0019931799999999,3077,225,100.0
4,Direct,FLASH_FUSION,1.0,34.12936186790466,0.0021596,3185,355,100.0
4,Direct,FLASH_FUSION,1.0,97.17183208465576,0.00205924,3118,278,100.0
4,Direct,FLASH_FUSION,1.0,22.335405111312863,0.0021023699999999,3167,296,100.0
5,Reasoning,FLASH_FUSION,0.0,61.2403290271759,0.0012501799999999,1736,286,0.0
5,Reasoning,FLASH_FUSION,1.0,68.35638880729675,0.00241189,3468,463,100.0
5,Reasoning,FLASH_FUSION,0.0,18.899208068847656,0.00132962,1797,341,0.0
6,Reasoning,FLASH_FUSION,1.0,52.08136200904846,0.00262957,3612,631,100.0
6,Reasoning,FLASH_FUSION,1.0,66.97019505500793,0.00263986,3683,591,100.0
6,Reasoning,FLASH_FUSION,0.0,43.447503089904785,0.00324953,4478,769,0.0
7,Reasoning,FLASH_FUSION,1.0,46.716371059417725,0.0025092499999999,3471,584,100.0
7,Reasoning,FLASH_FUSION,1.0,51.41632103919983,0.00238726,3366,508,100.0
7,Reasoning,FLASH_FUSION,0.0,27.285734176635746,0.0023966699999999,3394,499,0.0
8,Reasoning,FLASH_FUSION,1.0,45.33902907371521,0.0020228299999999,3067,270,100.0
8,Reasoning,FLASH_FUSION,1.0,36.6473240852356,0.00201024,3047,269,100.0
8,Reasoning,FLASH_FUSION,1.0,23.052013158798218,0.00197232,3047,221,100.0
9,Out-of-Scope,FLASH_FUSION,1.0,19.468636751174927,0.0010631199999999,1589,159,100.0
9,Out-of-Scope,FLASH_FUSION,1.0,20.849020957946777,0.0010527,1570,160,100.0
9,Out-of-Scope,FLASH_FUSION,1.0,12.693936109542848,0.0010708,1598,162,100.0
10,Out-of-Scope,FLASH_FUSION,1.0,30.757266998291016,0.0011273899999999,1635,206,100.0
10,Out-of-Scope,FLASH_FUSION,1.0,29.235289812088013,0.00099176,1535,109,100.0
10,Out-of-Scope,FLASH_FUSION,1.0,13.715221881866457,0.00101029,1549,122,100.0
11,Out-of-Scope,FLASH_FUSION,1.0,13.696523904800417,0.0009960899999999,1541,110,100.0
11,Out-of-Scope,FLASH_FUSION,1.0,20.71900200843811,0.0010073,1560,110,100.0
11,Out-of-Scope,FLASH_FUSION,1.0,10.12155294418335,0.0010437699999999,1587,136,100.0
12,Out-of-Scope,FLASH_FUSION,1.0,11.682658195495604,0.00103909,1563,148,100.0
12,Out-of-Scope,FLASH_FUSION,0.0,27.985177040100098,0.00241677,3412,511,0.0
12,Out-of-Scope,FLASH_FUSION,1.0,11.620113849639893,0.00102132,1561,127,100.0
