query_id,query_type,baseline,accuracy_raw,latency_s,cost_usd,input_tokens,output_tokens,accuracy_percent
1,Direct,FLASH_FUSION,1.0,11.443207025527954,0.0020586899999999,3259,172,100.0
1,Direct,FLASH_FUSION,1.0,15.853016138076782,0.00205751,3257,172,100.0
1,Direct,FLASH_FUSION,1.0,25.8980770111084,0.00208446,3300,174,100.0
2,Direct,FLASH_FUSION,1.0,28.22444200515747,0.00229771,3557,252,100.0
2,Direct,FLASH_FUSION,1.0,17.47734022140503,0.0023392,3551,309,100.0
2,Direct,FLASH_FUSION,1.0,9.936997652053831,0.00232528,3589,263,100.0
3,Direct,FLASH_FUSION,1.0,10.792855024337769,0.00221171,3434,235,100.0
3,Direct,FLASH_FUSION,1.0,32.799365758895874,0.00220782,3410,248,100.0
3,Direct,FLASH_FUSION,1.0,33.87228798866272,0.00214162,3346,212,100.0
4,Direct,FLASH_FUSION,1.0,26.146341800689697,0.00248144,3614,442,100.0
4,Direct,FLASH_FUSION,0.0,22.384358882904053,0.00242121,3532,427,0.0
4,Direct,FLASH_FUSION,1.0,23.08447003364563,0.00229377,3474,309,100.0
5,Reasoning,FLASH_FUSION,1.0,27.07557773590088,0.0026205399999999,3748,518,100.0
5,Reasoning,FLASH_FUSION,1.0,32.6261510848999,0.0026955499999999,3764,601,100.0
5,Reasoning,FLASH_FUSION,1.0,18.07067394256592,0.0026559599999999,3800,524,100.0
6,Reasoning,FLASH_FUSION,1.0,29.903330087661743,0.00309788,4150,822,100.0
6,Reasoning,FLASH_FUSION,1.0,36.047815799713135,0.00304546,4104,790,100.0
6,Reasoning,FLASH_FUSION,1.0,36.31274700164795,0.0029823299999999,3997,790,100.0
7,Reasoning,FLASH_FUSION,1.0,27.582666873931885,0.0022138699999999,3439,234,100.0
7,Reasoning,FLASH_FUSION,1.0,9.501682996749878,0.00234545,3579,296,100.0
7,Reasoning,FLASH_FUSION,1.0,20.009872913360596,0.00231158,3539,283,100.0
8,Reasoning,FLASH_FUSION,1.0,17.73434591293335,0.00258807,3780,453,100.0
8,Reasoning,FLASH_FUSION,1.0,16.653229236602783,0.00246542,3623,415,100.0
8,Reasoning,FLASH_FUSION,1.0,30.38148188591003,0.00257484,3700,496,100.0
9,Out-of-Scope,FLASH_FUSION,1.0,20.04195284843445,0.0011305199999999,1726,142,100.0
9,Out-of-Scope,FLASH_FUSION,1.0,6.958765983581543,0.0011918299999999,1771,186,100.0
9,Out-of-Scope,FLASH_FUSION,1.0,8.791903018951416,0.00116643,1740,177,100.0
10,Out-of-Scope,FLASH_FUSION,1.0,4.736791133880615,0.00117603,1771,166,100.0
10,Out-of-Scope,FLASH_FUSION,1.0,8.195854663848877,0.00110983,1707,130,100.0
10,Out-of-Scope,FLASH_FUSION,1.0,5.44055700302124,0.00110828,1695,137,100.0
11,Out-of-Scope,FLASH_FUSION,1.0,51.24891209602356,0.00145325,1957,378,100.0
11,Out-of-Scope,FLASH_FUSION,1.0,12.065404891967772,0.0012486399999999,1799,237,100.0
11,Out-of-Scope,FLASH_FUSION,1.0,15.415817022323608,0.00123008,1797,215,100.0
12,Out-of-Scope,FLASH_FUSION,1.0,11.237369298934937,0.00127423,1833,244,100.0
12,Out-of-Scope,FLASH_FUSION,1.0,66.35692024230957,0.00128843,1841,256,100.0
12,Out-of-Scope,FLASH_FUSION,1.0,12.165688753128052,0.00134461,1884,295,100.0
