query_id,query_type,baseline,accuracy_raw,latency_s,cost_usd,input_tokens,output_tokens,accuracy_percent
1,Direct,HARGPT_PAPER,1.0,26.25983476638794,0.03856282,65034,244,100.0
1,Direct,HARGPT_PAPER,1.0,6.1232500076293945,0.0384751299999999,65034,133,100.0
1,Direct,HARGPT_PAPER,1.0,6.140765905380249,0.03858889,65034,277,100.0
2,Direct,HARGPT_PAPER,0.0,30.39194393157959,0.03879839,65053,528,0.0
2,Direct,HARGPT_PAPER,1.0,35.241795778274536,0.03872418,65033,449,100.0
2,Direct,HARGPT_PAPER,1.0,8.626972198486328,0.0387318799999999,65034,458,100.0
3,Direct,HARGPT_PAPER,0.0,30.91369390487671,0.0386459599999999,65037,347,0.0
3,Direct,HARGPT_PAPER,0.0,40.6497437953949,0.03860582,65056,282,0.0
3,Direct,HARGPT_PAPER,0.0,7.079510688781738,0.0386198899999999,65037,314,0.0
4,Direct,HARGPT_PAPER,0.0,41.84145498275757,0.03878006,65038,516,0.0
4,Direct,HARGPT_PAPER,0.0,29.98759698867798,0.0388446399999999,65039,597,0.0
4,Direct,HARGPT_PAPER,0.0,16.882846117019653,0.0387790699999999,65039,514,0.0
5,Reasoning,HARGPT_PAPER,0.0,37.75866889953613,0.0387972199999999,65047,531,0.0
5,Reasoning,HARGPT_PAPER,0.0,56.78776717185974,0.0388499499999999,65048,597,0.0
5,Reasoning,HARGPT_PAPER,0.0,17.28212285041809,0.0387196,65048,432,0.0
6,Reasoning,HARGPT_PAPER,1.0,43.0892858505249,0.0387745,65050,500,100.0
6,Reasoning,HARGPT_PAPER,0.0,9.803051948547363,0.0386860199999999,65050,388,0.0
6,Reasoning,HARGPT_PAPER,0.0,16.17777395248413,0.03878714,65050,516,0.0
7,Reasoning,HARGPT_PAPER,0.0,39.60243105888367,0.03891177,65047,676,0.0
7,Reasoning,HARGPT_PAPER,0.0,10.627440214157104,0.0389881999999999,65048,772,0.0
7,Reasoning,HARGPT_PAPER,0.0,21.867828845977783,0.03890525,65048,667,0.0
8,Reasoning,HARGPT_PAPER,0.0,23.321180820465088,0.0388077,65042,548,0.0
8,Reasoning,HARGPT_PAPER,0.0,11.05107808113098,0.0387758999999999,65043,507,0.0
8,Reasoning,HARGPT_PAPER,0.0,20.95607590675354,0.0387751099999999,65043,506,0.0
9,Out-of-Scope,HARGPT_PAPER,1.0,40.93754506111145,0.03881759,65036,565,100.0
9,Out-of-Scope,HARGPT_PAPER,1.0,6.655196189880371,0.03868961,65036,403,100.0
9,Out-of-Scope,HARGPT_PAPER,1.0,34.65209603309631,0.03872279,65036,445,100.0
10,Out-of-Scope,HARGPT_PAPER,1.0,41.47063899040222,0.0386906,65035,405,100.0
10,Out-of-Scope,HARGPT_PAPER,1.0,8.121516942977905,0.0386439899999999,65035,346,100.0
10,Out-of-Scope,HARGPT_PAPER,1.0,24.185967922210693,0.03867164,65035,381,100.0
11,Out-of-Scope,HARGPT_PAPER,0.0,54.330617904663086,0.03867283,65033,384,0.0
11,Out-of-Scope,HARGPT_PAPER,0.0,12.414490222930908,0.0388174,65033,567,0.0
11,Out-of-Scope,HARGPT_PAPER,0.0,15.953820943832396,0.03870917,65033,430,0.0
12,Out-of-Scope,HARGPT_PAPER,1.0,33.814605712890625,0.03881166,65038,556,100.0
12,Out-of-Scope,HARGPT_PAPER,1.0,11.263240098953249,0.03884148,65039,593,100.0
12,Out-of-Scope,HARGPT_PAPER,0.0,20.885298013687137,0.0388383199999999,65039,589,0.0
