run_id,baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,s1_latency_s,s2_latency_s,s3_latency_s,guardrail_latency_s,agent_latency_s,s1_latency_ms,s2_latency_ms,s3_latency_ms,guardrail_latency_ms,agent_latency_ms
1,HARGPT_PAPER,1,0.0,llm_judge_score,340.0492000579834,0.060814429999999996,102845,172,False,False,N/A,"hargpt_scope,hargpt_ecg_window,hargpt_ecg_rewrite,hargpt_ecg_infer,hargpt_ecg_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HARGPT_PAPER,2,0.0,llm_judge_score,51.09502100944519,0.06050838,102262,220,False,False,N/A,"hargpt_scope,hargpt_ecg_window,hargpt_ecg_rewrite,hargpt_ecg_infer,hargpt_ecg_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HARGPT_PAPER,3,0.0,llm_judge_score,57.50509285926819,0.060441669999999996,102086,267,False,False,N/A,"hargpt_scope,hargpt_ecg_window,hargpt_ecg_rewrite,hargpt_ecg_infer,hargpt_ecg_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HARGPT_PAPER,4,0.0,llm_judge_score,31.286376953125,0.06063841,102548,171,False,False,N/A,"hargpt_scope,hargpt_ecg_window,hargpt_ecg_rewrite,hargpt_ecg_infer,hargpt_ecg_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HARGPT_PAPER,5,0.0,llm_judge_score,78.37005710601807,0.06037794,101666,500,False,False,N/A,"hargpt_scope,hargpt_ecg_window,hargpt_ecg_rewrite,hargpt_ecg_infer,hargpt_ecg_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HARGPT_PAPER,6,0.0,llm_judge_score,320.7651731967926,0.060507189999999995,102264,217,False,False,N/A,"hargpt_scope,hargpt_ecg_window,hargpt_ecg_rewrite,hargpt_ecg_infer,hargpt_ecg_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HARGPT_PAPER,7,0.0,llm_judge_score,64.23306202888489,0.06102278,102850,432,False,False,N/A,"hargpt_scope,hargpt_ecg_window,hargpt_ecg_rewrite,hargpt_ecg_infer,hargpt_ecg_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HARGPT_PAPER,8,0.0,llm_judge_score,1394.064100265503,0.07317528,102088,16384,False,False,N/A,"hargpt_scope,hargpt_ecg_window,hargpt_ecg_rewrite,hargpt_ecg_infer,hargpt_ecg_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HARGPT_PAPER,9,0.0,llm_judge_score,51.09973192214966,0.06095089,102850,341,False,False,N/A,"hargpt_scope,hargpt_ecg_window,hargpt_ecg_rewrite,hargpt_ecg_infer,hargpt_ecg_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HARGPT_PAPER,10,1.0,llm_judge_score,40.59566783905029,0.06046356,102257,167,False,False,N/A,"hargpt_scope,hargpt_ecg_window,hargpt_ecg_rewrite,hargpt_ecg_infer,hargpt_ecg_parse",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
