query_id,query_type,baseline,accuracy_raw,latency_s,cost_usd,input_tokens,output_tokens,accuracy_percent
1,Direct,HARGPT_PAPER,0.0,340.0492000579834,0.0608144299999999,102845,172,0.0
1,Direct,HARGPT_PAPER,0.0,309.7886300086975,0.0607875699999999,102845,138,0.0
1,Direct,HARGPT_PAPER,0.0,48.19802188873291,0.06083023,102845,192,0.0
2,Direct,HARGPT_PAPER,0.0,51.09502100944519,0.06050838,102262,220,0.0
2,Direct,HARGPT_PAPER,0.0,54.627809047698975,0.0604505099999999,102263,146,0.0
2,Direct,HARGPT_PAPER,0.0,75.03227710723877,0.0604522899999999,102262,149,0.0
3,Direct,HARGPT_PAPER,0.0,57.50509285926819,0.0604416699999999,102086,267,0.0
3,Direct,HARGPT_PAPER,0.0,57.83026671409607,0.0603411399999999,102087,139,0.0
3,Direct,HARGPT_PAPER,0.0,59.924083948135376,0.06036899,102086,175,0.0
4,Direct,HARGPT_PAPER,0.0,31.286376953125,0.06063841,102548,171,0.0
4,Direct,HARGPT_PAPER,0.0,48.36636185646057,0.06065421,102548,191,0.0
4,Direct,HARGPT_PAPER,0.0,54.53978395462036,0.08303486,102568,28506,0.0
5,Reasoning,HARGPT_PAPER,0.0,78.37005710601807,0.06037794,101666,500,0.0
5,Reasoning,HARGPT_PAPER,0.0,54.17568802833557,0.0602902499999999,101666,389,0.0
5,Reasoning,HARGPT_PAPER,1.0,104.79290914535522,0.0603052599999999,101666,408,100.0
6,Reasoning,HARGPT_PAPER,0.0,320.7651731967926,0.0605071899999999,102264,217,0.0
6,Reasoning,HARGPT_PAPER,0.0,65.48839497566223,0.0605711799999999,102264,298,0.0
6,Reasoning,HARGPT_PAPER,0.0,8.42684817314148,0.0605829799999999,102284,298,0.0
7,Reasoning,HARGPT_PAPER,0.0,64.23306202888489,0.06102278,102850,432,0.0
7,Reasoning,HARGPT_PAPER,0.0,76.72723412513733,0.06095089,102850,341,0.0
7,Reasoning,HARGPT_PAPER,0.0,397.2911911010742,0.06109546,102850,524,0.0
8,Reasoning,HARGPT_PAPER,0.0,1394.064100265503,0.07317528,102088,16384,0.0
8,Reasoning,HARGPT_PAPER,0.0,2041.0311470031736,0.07317528,102088,16384,0.0
8,Reasoning,HARGPT_PAPER,0.0,0.0,0.0,0,0,0.0
9,Out-of-Scope,HARGPT_PAPER,0.0,51.09973192214966,0.06095089,102850,341,0.0
9,Out-of-Scope,HARGPT_PAPER,0.0,107.69799184799194,0.0610767,102849,501,0.0
9,Out-of-Scope,HARGPT_PAPER,0.0,85.15986609458923,0.0611130399999999,102849,547,0.0
10,Out-of-Scope,HARGPT_PAPER,1.0,40.59566783905029,0.06046356,102257,167,100.0
10,Out-of-Scope,HARGPT_PAPER,1.0,43.23917317390442,0.06047284,102258,178,100.0
10,Out-of-Scope,HARGPT_PAPER,1.0,65.0991518497467,0.0604904199999999,102257,201,100.0
11,Out-of-Scope,HARGPT_PAPER,1.0,39.56186199188232,0.0604680999999999,102258,172,100.0
11,Out-of-Scope,HARGPT_PAPER,1.0,49.37729167938232,0.0604752099999999,102258,181,100.0
11,Out-of-Scope,HARGPT_PAPER,1.0,57.647626876831055,0.0604744199999999,102258,180,100.0
12,Out-of-Scope,HARGPT_PAPER,0.0,58.01439881324768,0.0610054399999999,102597,599,0.0
12,Out-of-Scope,HARGPT_PAPER,0.0,54.13289284706116,0.06090491,102598,471,0.0
12,Out-of-Scope,HARGPT_PAPER,1.0,53.62961792945862,0.0608140599999999,102598,356,100.0
