query_id,query_type,baseline,accuracy_raw,latency_s,cost_usd,input_tokens,output_tokens,accuracy_percent
1,Direct,REACT_ONLY,1.0,5.11506986618042,0.0005118099999999,834,25,100.0
1,Direct,REACT_ONLY,1.0,2.5256049633026123,0.0005005999999999,815,25,100.0
1,Direct,REACT_ONLY,1.0,2.3986358642578125,0.00050001,814,25,100.0
2,Direct,REACT_ONLY,1.0,2.539407968521118,0.00050237,818,25,100.0
2,Direct,REACT_ONLY,1.0,5.200959920883179,0.00050296,819,25,100.0
2,Direct,REACT_ONLY,1.0,2.15427303314209,0.00050178,817,25,100.0
3,Direct,REACT_ONLY,1.0,2.740985155105591,0.0005356699999999,849,44,100.0
3,Direct,REACT_ONLY,1.0,3.5569918155670166,0.00052387,829,44,100.0
3,Direct,REACT_ONLY,1.0,2.531080961227417,0.00053508,848,44,100.0
4,Direct,REACT_ONLY,1.0,1.947736978530884,0.00051164,823,33,100.0
4,Direct,REACT_ONLY,1.0,2.1592788696289062,0.00052226,841,33,100.0
4,Direct,REACT_ONLY,1.0,2.05853009223938,0.00052285,842,33,100.0
5,Reasoning,REACT_ONLY,1.0,6.573723077774048,0.00063482,847,171,100.0
5,Reasoning,REACT_ONLY,1.0,5.7991108894348145,0.00064188,867,165,100.0
5,Reasoning,REACT_ONLY,1.0,8.770805835723877,0.00055816,859,65,100.0
6,Reasoning,REACT_ONLY,1.0,3.564089059829712,0.00057137,868,75,100.0
6,Reasoning,REACT_ONLY,0.0,3.047367811203003,0.0006904,1051,89,0.0
6,Reasoning,REACT_ONLY,0.0,3.624843120574951,0.00069672,1051,97,0.0
7,Reasoning,REACT_ONLY,1.0,2.1203949451446533,0.0005695499999999,885,60,100.0
7,Reasoning,REACT_ONLY,1.0,13.887593269348145,0.0005815,845,105,100.0
7,Reasoning,REACT_ONLY,1.0,7.880459785461426,0.0006048,847,133,100.0
8,Reasoning,REACT_ONLY,0.0,2.340384006500244,0.0005901499999999,861,104,0.0
8,Reasoning,REACT_ONLY,0.0,2.5512518882751465,0.0005980499999999,861,114,0.0
8,Reasoning,REACT_ONLY,0.0,3.026738166809082,0.0005868399999999,842,114,0.0
9,Out-of-Scope,REACT_ONLY,0.0,7.805147171020508,0.00057978,822,120,0.0
9,Out-of-Scope,REACT_ONLY,0.0,3.355959892272949,0.0005876299999999,842,115,0.0
9,Out-of-Scope,REACT_ONLY,0.0,8.680700063705444,0.00059676,824,140,0.0
10,Out-of-Scope,REACT_ONLY,1.0,25.942589044570923,0.0009624599999999,1089,405,100.0
10,Out-of-Scope,REACT_ONLY,1.0,26.089313983917236,0.00128605,1608,427,100.0
10,Out-of-Scope,REACT_ONLY,1.0,9.091865062713625,0.00088045,1187,228,100.0
11,Out-of-Scope,REACT_ONLY,0.0,10.186896800994871,0.00139501,1790,429,0.0
11,Out-of-Scope,REACT_ONLY,0.0,5.211667060852051,0.00148975,2288,177,0.0
11,Out-of-Scope,REACT_ONLY,0.0,9.934319972991943,0.0015455999999999,2305,235,0.0
12,Out-of-Scope,REACT_ONLY,0.0,30.255406141281128,0.0022498699999999,2311,1122,0.0
12,Out-of-Scope,REACT_ONLY,0.0,13.951428174972534,0.00200793,2312,815,0.0
12,Out-of-Scope,REACT_ONLY,0.0,10.818111896514893,0.00197159,2312,769,0.0
