query_id,query_type,baseline,accuracy_raw,latency_s,cost_usd,input_tokens,output_tokens,accuracy_percent
1,Direct,REACT_ONLY,1.0,8.110400915145874,0.00027744,414,42,100.0
1,Direct,REACT_ONLY,1.0,7.754515886306763,0.00027803,415,42,100.0
1,Direct,REACT_ONLY,1.0,7.876884937286377,0.00027428,414,38,100.0
2,Direct,REACT_ONLY,1.0,7.717396259307861,0.00028471,429,40,100.0
2,Direct,REACT_ONLY,1.0,8.032449960708618,0.00028412,428,40,100.0
2,Direct,REACT_ONLY,1.0,6.95992112159729,0.0002959199999999,448,40,100.0
3,Direct,REACT_ONLY,1.0,12.505535364151,0.0002992999999999,439,51,100.0
3,Direct,REACT_ONLY,1.0,7.591524124145508,0.00029125,420,55,100.0
3,Direct,REACT_ONLY,1.0,8.498102903366089,0.00029989,440,51,100.0
4,Direct,REACT_ONLY,1.0,9.301106929779053,0.0003082099999999,430,69,100.0
4,Direct,REACT_ONLY,1.0,7.44746994972229,0.0003082099999999,430,69,100.0
4,Direct,REACT_ONLY,1.0,13.770912885665894,0.00033043,469,68,100.0
5,Reasoning,REACT_ONLY,1.0,8.548243999481201,0.00036822,442,136,100.0
5,Reasoning,REACT_ONLY,1.0,7.446508169174194,0.00036703,444,133,100.0
5,Reasoning,REACT_ONLY,1.0,7.553301095962524,0.0003694,444,136,100.0
6,Reasoning,REACT_ONLY,1.0,7.54543399810791,0.00029064,427,49,100.0
6,Reasoning,REACT_ONLY,1.0,8.355306148529053,0.00029064,427,49,100.0
6,Reasoning,REACT_ONLY,1.0,7.531565189361572,0.00030185,446,49,100.0
7,Reasoning,REACT_ONLY,0.0,9.26050090789795,0.00037671,443,146,0.0
7,Reasoning,REACT_ONLY,0.0,12.5099458694458,0.0003655,424,146,0.0
7,Reasoning,REACT_ONLY,0.0,10.222011804580688,0.00036471,424,145,0.0
8,Reasoning,REACT_ONLY,1.0,11.122251987457275,0.0003342799999999,430,102,100.0
8,Reasoning,REACT_ONLY,1.0,11.058671951293944,0.0003344799999999,429,103,100.0
8,Reasoning,REACT_ONLY,1.0,7.867049932479858,0.0003405499999999,450,95,100.0
9,Out-of-Scope,REACT_ONLY,0.0,8.83570384979248,0.00030093,419,68,0.0
9,Out-of-Scope,REACT_ONLY,0.0,8.072508811950684,0.00030152,420,68,0.0
9,Out-of-Scope,REACT_ONLY,0.0,8.09398102760315,0.0003579099999999,458,111,0.0
10,Out-of-Scope,REACT_ONLY,0.0,43.81615090370178,0.00087869,785,526,0.0
10,Out-of-Scope,REACT_ONLY,0.0,31.41259503364563,0.00078447,790,403,0.0
10,Out-of-Scope,REACT_ONLY,0.0,27.245511054992676,0.00084111,807,462,0.0
11,Out-of-Scope,REACT_ONLY,1.0,12.097569227218628,0.00050001,735,84,100.0
11,Out-of-Scope,REACT_ONLY,1.0,7.719406127929688,0.00050119,737,84,100.0
11,Out-of-Scope,REACT_ONLY,1.0,8.825324773788452,0.0005006,736,84,100.0
12,Out-of-Scope,REACT_ONLY,0.0,12.63241696357727,0.00040519,427,194,0.0
12,Out-of-Scope,REACT_ONLY,0.0,10.0450918674469,0.0004164,446,194,0.0
12,Out-of-Scope,REACT_ONLY,0.0,7.30746603012085,0.0004482,445,235,0.0
