query_id,query_type,baseline,accuracy_raw,latency_s,cost_usd,input_tokens,output_tokens,accuracy_percent
1,Direct,AUTOIOT_ONLY,1.0,2.0483570098876953,0.00015089,237,14,100.0
1,Direct,AUTOIOT_ONLY,1.0,2.0829601287841797,0.00015089,237,14,100.0
1,Direct,AUTOIOT_ONLY,1.0,1.9545867443084717,0.00015089,237,14,100.0
1,Direct,FLASH_FUSION,1.0,3.367496967315674,0.00036707,507,86,100.0
1,Direct,FLASH_FUSION,1.0,3.58406925201416,0.00033379,468,73,100.0
1,Direct,FLASH_FUSION,1.0,3.5561163425445557,0.00034088,476,76,100.0
2,Direct,AUTOIOT_ONLY,1.0,2.0964176654815674,0.00014694,237,9,100.0
2,Direct,AUTOIOT_ONLY,1.0,2.0356969833374023,0.00015089,237,14,100.0
2,Direct,AUTOIOT_ONLY,1.0,2.0341999530792236,0.00014694,237,9,100.0
2,Direct,FLASH_FUSION,1.0,3.6374218463897705,0.00038145,522,93,100.0
2,Direct,FLASH_FUSION,1.0,3.4804911613464355,0.0003806599999999,522,92,100.0
2,Direct,FLASH_FUSION,1.0,3.526771068572998,0.00038145,522,93,100.0
3,Direct,AUTOIOT_ONLY,1.0,2.0492920875549316,0.0001506899999999,238,13,100.0
3,Direct,AUTOIOT_ONLY,1.0,1.9819200038909912,0.0001506899999999,238,13,100.0
3,Direct,AUTOIOT_ONLY,1.0,2.016456842422486,0.0001506899999999,238,13,100.0
3,Direct,FLASH_FUSION,1.0,4.583401918411255,0.00057976,751,173,100.0
3,Direct,FLASH_FUSION,1.0,3.701362848281861,0.0004340299999999,583,114,100.0
3,Direct,FLASH_FUSION,1.0,4.53400182723999,0.00041729,564,107,100.0
4,Direct,AUTOIOT_ONLY,1.0,2.177161931991577,0.00015779,242,19,100.0
4,Direct,AUTOIOT_ONLY,1.0,2.3328189849853516,0.00015779,242,19,100.0
4,Direct,AUTOIOT_ONLY,1.0,2.200968980789185,0.00015779,242,19,100.0
4,Direct,FLASH_FUSION,1.0,3.314810276031494,0.00051442,659,159,100.0
4,Direct,FLASH_FUSION,1.0,4.084140062332153,0.00050848,665,147,100.0
4,Direct,FLASH_FUSION,1.0,4.791985034942627,0.00049174,646,140,100.0
5,Reasoning,AUTOIOT_ONLY,1.0,2.2996768951416016,0.00018558,265,37,100.0
5,Reasoning,AUTOIOT_ONLY,1.0,2.135234832763672,0.00018558,265,37,100.0
5,Reasoning,AUTOIOT_ONLY,1.0,2.2083959579467773,0.00018558,265,37,100.0
5,Reasoning,FLASH_FUSION,1.0,4.080485105514526,0.0007355199999999,936,232,100.0
5,Reasoning,FLASH_FUSION,1.0,4.669708013534546,0.00096111,1155,354,100.0
5,Reasoning,FLASH_FUSION,1.0,4.896867036819458,0.0008007,1013,257,100.0
6,Reasoning,AUTOIOT_ONLY,1.0,4.239231109619141,0.0003505999999999,538,42,100.0
6,Reasoning,AUTOIOT_ONLY,1.0,4.102696180343628,0.0003505999999999,538,42,100.0
6,Reasoning,AUTOIOT_ONLY,0.0,2.8147428035736084,0.0002045499999999,261,64,0.0
6,Reasoning,FLASH_FUSION,1.0,4.39339804649353,0.00078499,977,264,100.0
6,Reasoning,FLASH_FUSION,1.0,5.5456531047821045,0.0007550599999999,941,253,100.0
6,Reasoning,FLASH_FUSION,1.0,4.1855597496032715,0.0007516799999999,950,242,100.0
7,Reasoning,AUTOIOT_ONLY,1.0,2.0824363231658936,0.00017255,263,22,100.0
7,Reasoning,AUTOIOT_ONLY,1.0,2.1242411136627197,0.00017255,263,22,100.0
7,Reasoning,AUTOIOT_ONLY,1.0,2.2511277198791504,0.00017255,263,22,100.0
7,Reasoning,FLASH_FUSION,1.0,4.7886741161346436,0.0008183799999999,972,310,100.0
7,Reasoning,FLASH_FUSION,1.0,6.439450263977051,0.0007782399999999,991,245,100.0
7,Reasoning,FLASH_FUSION,1.0,5.402390003204346,0.0008007,1013,257,100.0
8,Reasoning,AUTOIOT_ONLY,0.0,2.408842086791992,0.00019982,257,61,0.0
8,Reasoning,AUTOIOT_ONLY,0.0,2.4070959091186523,0.00019903,257,60,0.0
8,Reasoning,AUTOIOT_ONLY,0.0,29.05200695991516,0.00016506,257,17,0.0
8,Reasoning,FLASH_FUSION,0.0,5.270750999450684,0.00108658,1211,471,0.0
8,Reasoning,FLASH_FUSION,0.0,5.405244827270508,0.00105262,1207,431,0.0
8,Reasoning,FLASH_FUSION,0.0,8.49543309211731,0.0010802099999999,1231,448,0.0
9,Out-of-Scope,AUTOIOT_ONLY,0.0,2.298795700073242,0.00016332,242,26,0.0
9,Out-of-Scope,AUTOIOT_ONLY,0.0,2.3746559619903564,0.00021783,242,95,0.0
9,Out-of-Scope,AUTOIOT_ONLY,0.0,2.0921437740325928,0.00016095,242,23,0.0
9,Out-of-Scope,FLASH_FUSION,1.0,2.2660930156707764,0.0004453,341,309,100.0
9,Out-of-Scope,FLASH_FUSION,1.0,2.744439125061035,0.0005344099999999,405,374,100.0
9,Out-of-Scope,FLASH_FUSION,1.0,2.74019193649292,0.00041671,322,287,100.0
10,Out-of-Scope,AUTOIOT_ONLY,1.0,5.464766979217529,0.0005280899999999,484,307,100.0
10,Out-of-Scope,AUTOIOT_ONLY,0.0,2.424715995788574,0.00024924,239,137,0.0
10,Out-of-Scope,AUTOIOT_ONLY,0.0,8.0139319896698,0.00079992,693,495,0.0
10,Out-of-Scope,FLASH_FUSION,1.0,2.748152017593384,0.0004750899999999,354,337,100.0
10,Out-of-Scope,FLASH_FUSION,1.0,2.889923095703125,0.00046799,350,331,100.0
10,Out-of-Scope,FLASH_FUSION,1.0,2.029088973999023,0.00047923,357,340,100.0
11,Out-of-Scope,AUTOIOT_ONLY,0.0,4.898930072784424,0.00043329,484,187,0.0
11,Out-of-Scope,AUTOIOT_ONLY,0.0,4.697977066040039,0.0003841799999999,457,145,0.0
11,Out-of-Scope,AUTOIOT_ONLY,1.0,6.390340089797974,0.00053925,681,174,100.0
11,Out-of-Scope,FLASH_FUSION,1.0,2.5389492511749268,0.0004122,309,291,100.0
11,Out-of-Scope,FLASH_FUSION,1.0,3.1961488723754883,0.00049796,370,354,100.0
11,Out-of-Scope,FLASH_FUSION,1.0,2.3438892364501953,0.00038184,287,269,100.0
12,Out-of-Scope,AUTOIOT_ONLY,0.0,4.381186008453369,0.00035309,253,258,0.0
12,Out-of-Scope,AUTOIOT_ONLY,0.0,3.746216058731079,0.00031124,245,211,0.0
12,Out-of-Scope,AUTOIOT_ONLY,0.0,3.7454030513763423,0.00030413,245,202,0.0
12,Out-of-Scope,FLASH_FUSION,1.0,2.9225099086761475,0.00056399,423,398,100.0
12,Out-of-Scope,FLASH_FUSION,1.0,3.2548296451568604,0.00056516,429,395,100.0
12,Out-of-Scope,FLASH_FUSION,1.0,3.024445056915283,0.00059237,447,416,100.0
