query_id,query_type,baseline,accuracy_raw,latency_s,cost_usd,input_tokens,output_tokens,accuracy_percent
1,Direct,AUTOIOT_PAPER,1.0,79.71817421913147,0.01045328,11139,4913,100.0
1,Direct,AUTOIOT_PAPER,1.0,96.05278778076172,0.0150918299999999,16090,7087,100.0
1,Direct,AUTOIOT_PAPER,1.0,51.41940903663635,0.01197532,12756,5632,100.0
1,Direct,FLASH_FUSION,1.0,5.047306060791016,0.00033773,472,75,100.0
1,Direct,FLASH_FUSION,1.0,5.7242591381073,0.00033379,468,73,100.0
1,Direct,FLASH_FUSION,1.0,5.0257248878479,0.00033379,468,73,100.0
1,Direct,HARGPT_PAPER,0.0,0.8173880577087402,0.00014256,93,111,0.0
1,Direct,HARGPT_PAPER,0.0,0.7252771854400635,0.0001394,93,107,0.0
1,Direct,HARGPT_PAPER,0.0,1.0217070579528809,0.00014572,93,115,0.0
1,Direct,LLMSENSE_PAPER,0.0,2.1108598709106445,0.00049256,634,150,0.0
1,Direct,LLMSENSE_PAPER,0.0,2.0682930946350098,0.00046003,611,126,0.0
1,Direct,LLMSENSE_PAPER,0.0,2.198014974594116,0.0005252799999999,660,172,0.0
2,Direct,AUTOIOT_PAPER,1.0,90.67484903335573,0.01180448,13073,5179,100.0
2,Direct,AUTOIOT_PAPER,1.0,44.015666007995605,0.01024954,11107,4679,100.0
2,Direct,AUTOIOT_PAPER,0.0,45.18634104728699,0.01059719,11640,4721,0.0
2,Direct,FLASH_FUSION,1.0,5.531017065048218,0.0003806599999999,522,92,100.0
2,Direct,FLASH_FUSION,1.0,5.459052085876465,0.0003806599999999,522,92,100.0
2,Direct,FLASH_FUSION,1.0,5.30350399017334,0.0004107899999999,557,104,100.0
2,Direct,HARGPT_PAPER,0.0,1.3966689109802246,0.00021919,93,208,0.0
2,Direct,HARGPT_PAPER,0.0,1.6019940376281738,0.00021919,93,208,0.0
2,Direct,HARGPT_PAPER,0.0,1.3173651695251465,0.00020892,93,195,0.0
2,Direct,LLMSENSE_PAPER,0.0,2.149662971496582,0.00046772,616,132,0.0
2,Direct,LLMSENSE_PAPER,0.0,2.2101149559020996,0.0005124699999999,649,164,0.0
2,Direct,LLMSENSE_PAPER,0.0,2.2043709754943848,0.00048136,611,153,0.0
3,Direct,AUTOIOT_PAPER,1.0,40.76905584335327,0.00802026,8855,3539,100.0
3,Direct,AUTOIOT_PAPER,0.0,52.42224597930908,0.0104177299999999,10665,5222,0.0
3,Direct,AUTOIOT_PAPER,0.0,51.28478193283081,0.01061474,11256,5030,0.0
3,Direct,FLASH_FUSION,1.0,5.934444189071655,0.0004007499999999,544,101,100.0
3,Direct,FLASH_FUSION,1.0,5.170367002487183,0.00042044,568,108,100.0
3,Direct,FLASH_FUSION,1.0,6.089698791503906,0.0005899999999999,763,177,100.0
3,Direct,HARGPT_PAPER,0.0,1.3148667812347412,0.00020734,93,193,0.0
3,Direct,HARGPT_PAPER,0.0,1.4060709476470947,0.00022393,93,214,0.0
3,Direct,HARGPT_PAPER,0.0,1.924142837524414,0.00022393,93,214,0.0
3,Direct,LLMSENSE_PAPER,0.0,2.933694839477539,0.00049808,638,154,0.0
3,Direct,LLMSENSE_PAPER,0.0,1.9499552249908447,0.00046003,611,126,0.0
3,Direct,LLMSENSE_PAPER,0.0,2.121746301651001,0.0004856599999999,629,145,0.0
4,Direct,AUTOIOT_PAPER,1.0,46.49853610992432,0.01036461,10583,5216,100.0
4,Direct,AUTOIOT_PAPER,1.0,45.533958196640015,0.0100196099999999,10175,5084,100.0
