dataset,fraction,fraction_tag,sample_rows,full_rows,avg_accuracy,avg_latency_s,avg_cost_usd,execution_rate,query_count
bus,0.2,20,243,1219,0.8333333333333334,20.56133673588435,0.0005787808333333333,0.6666666666666666,12
bus,0.4,40,487,1219,1.0,14.476231873035431,0.0005928366666666667,0.6666666666666666,12
bus,0.6,60,731,1219,0.6666666666666666,29.703761160373688,0.0006819116666666666,0.8333333333333334,12
bus,0.8,80,975,1219,0.9166666666666666,21.891109069188435,0.0006008108333333335,0.6666666666666666,12
bus,1.0,100,1219,1219,0.75,20.148351848125458,0.0007157558333333332,0.8333333333333334,12
mit_ecg,0.2,20,5200000,26000000,0.5833333333333334,27.02149264017741,0.0004805183333333333,0.5,12
mit_ecg,0.4,40,10400000,26000000,0.75,28.769564708073933,0.0005526241666666667,0.6666666666666666,12
mit_ecg,0.6,60,15600000,26000000,0.5833333333333334,61.65684278806051,0.0005937233333333334,0.8333333333333334,12
mit_ecg,0.8,80,20800000,26000000,0.75,30.18566592534383,0.0005096966666666667,0.6666666666666666,12
mit_ecg,1.0,100,26000000,26000000,0.75,36.51987338066101,0.00057768,0.8333333333333334,12
wisdm,0.2,20,219639,1098198,0.5833333333333334,15.750225047270456,0.0005593858333333334,0.3333333333333333,12
wisdm,0.4,40,439279,1098198,1.0,21.32539653778076,0.0006348608333333333,0.6666666666666666,12
wisdm,0.6,60,658918,1098198,1.0,17.579114814599354,0.0006099491666666667,0.6666666666666666,12
wisdm,0.8,80,878558,1098198,0.9166666666666666,22.591125547885895,0.0006256925,0.6666666666666666,12
wisdm,1.0,100,1098198,1098198,1.0,35.53246468305588,0.0006251633333333332,0.6666666666666666,12
