baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,s1_latency_s,s2_latency_s,s3_latency_s,guardrail_latency_s,agent_latency_s,s1_latency_ms,s2_latency_ms,s3_latency_ms,guardrail_latency_ms,agent_latency_ms,dataset,fraction,fraction_tag,sample_rows,full_rows
FLASH_FUSION,1,0.0,guardrail_skip_unexpected_rejection,4.017434120178223,0.00105824,1645,111,False,True,N/A,"S1,S2,guardrail",1.0191211700439453,1.0226147174835205,0.0,1.8422291278839111,0.0,1019.1211700439453,1022.6147174835205,0.0,1842.2291278839111,0.0,wisdm,0.2,20,219639,1098198
FLASH_FUSION,2,1.0,llm_judge_score,49.15180802345276,0.00212848,3309,223,True,False,N/A,"S1,S2,guardrail,S3,agent",0.8780112266540527,1.4506611824035645,41.7547447681427,0.415802001953125,4.530886888504028,878.0112266540527,1450.6611824035645,41754.7447681427,415.802001953125,4530.886888504028,wisdm,0.2,20,219639,1098198
FLASH_FUSION,3,0.0,guardrail_skip_unexpected_rejection,5.478534936904907,0.0010421100000000002,1619,110,False,True,N/A,"S1,S2,guardrail",1.3914258480072021,1.2657480239868164,0.0,2.6639318466186523,0.0,1391.4258480072021,1265.7480239868164,0.0,2663.9318466186523,0.0,wisdm,0.2,20,219639,1098198
FLASH_FUSION,4,1.0,llm_judge_score,18.496344089508057,0.00241114,3610,356,True,False,N/A,"S1,S2,guardrail,S3,agent",3.0411629676818848,1.5857300758361816,8.483411073684692,0.37413692474365234,4.878732919692993,3041.1629676818848,1585.7300758361816,8483.411073684692,374.13692474365234,4878.732919692993,wisdm,0.2,20,219639,1098198
FLASH_FUSION,5,0.0,guardrail_skip_unexpected_rejection,6.897885799407959,0.00118797,1735,208,False,True,N/A,"S1,S2,guardrail",2.34860897064209,2.9664509296417236,0.0,1.4606659412384033,0.0,2348.60897064209,2966.4509296417236,0.0,1460.6659412384033,0.0,wisdm,0.2,20,219639,1098198
FLASH_FUSION,6,0.0,guardrail_skip_unexpected_rejection,16.40420413017273,0.0013665799999999998,1865,337,False,True,N/A,"S1,S2,guardrail",1.1672089099884033,12.11912989616394,0.0,2.9941790103912354,0.0,1167.2089099884033,12119.12989616394,0.0,2994.1790103912354,0.0,wisdm,0.2,20,219639,1098198
FLASH_FUSION,7,1.0,llm_judge_score,15.644344091415405,0.0022852899999999997,3469,302,True,False,N/A,"S1,S2,guardrail,S3,agent",0.8355498313903809,4.641286849975586,3.704461097717285,0.552567720413208,5.775410890579224,835.5498313903809,4641.286849975586,3704.461097717285,552.567720413208,5775.410890579224,wisdm,0.2,20,219639,1098198
FLASH_FUSION,8,1.0,llm_judge_score,18.786813259124756,0.00230416,3426,358,True,False,N/A,"S1,S2,guardrail,S3,agent",1.0329039096832275,2.2495479583740234,5.997438907623291,0.6594269275665283,8.71134066581726,1032.9039096832275,2249.5479583740234,5997.438907623291,659.4269275665283,8711.34066581726,wisdm,0.2,20,219639,1098198
FLASH_FUSION,9,1.0,guardrail_skip_expected_rejection,20.834967136383057,0.0012254499999999999,1753,242,False,True,N/A,"S1,S2,guardrail",1.3759210109710693,18.63280487060547,0.0,0.6934421062469482,0.0,1375.9210109710693,18632.80487060547,0.0,693.4421062469482,0.0,wisdm,0.2,20,219639,1098198
FLASH_FUSION,10,1.0,guardrail_skip_expected_rejection,20.90643000602722,0.0010990499999999999,1674,141,False,True,N/A,"S1,S2,guardrail",2.8484079837799072,14.870137929916382,0.0,3.059314012527466,0.0,2848.407983779907,14870.137929916382,0.0,3059.314012527466,0.0,wisdm,0.2,20,219639,1098198
FLASH_FUSION,11,1.0,guardrail_skip_expected_rejection,10.216777086257935,0.0012488299999999998,1802,235,False,True,N/A,"S1,S2,guardrail",1.7832441329956055,6.362421751022339,0.0,1.940932273864746,0.0,1783.2441329956055,6362.421751022339,0.0,1940.932273864746,0.0,wisdm,0.2,20,219639,1098198
FLASH_FUSION,12,1.0,guardrail_skip_expected_rejection,12.460011005401611,0.00130541,1843,276,False,True,N/A,"S1,S2,guardrail",2.373713970184326,7.85756516456604,0.0,2.1008026599884033,0.0,2373.713970184326,7857.56516456604,0.0,2100.8026599884033,0.0,wisdm,0.2,20,219639,1098198
REACT_ONLY,1,1.0,llm_judge_score,5.84716010093689,0.00025991999999999996,391,37,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.2,20,219639,1098198
REACT_ONLY,2,1.0,llm_judge_score,5.106109142303467,0.00024575,371,34,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.2,20,219639,1098198
REACT_ONLY,3,1.0,llm_judge_score,4.822675943374634,0.0002722,377,63,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.2,20,219639,1098198
REACT_ONLY,4,1.0,llm_judge_score,9.757773637771606,0.00023864999999999997,367,28,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.2,20,219639,1098198
REACT_ONLY,5,1.0,llm_judge_score,12.992434978485107,0.00042979,383,258,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.2,20,219639,1098198
REACT_ONLY,6,0.0,llm_judge_score,11.633286952972412,0.00048813999999999997,427,299,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.2,20,219639,1098198
REACT_ONLY,7,1.0,llm_judge_score,5.2474071979522705,0.00034185999999999993,400,134,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.2,20,219639,1098198
REACT_ONLY,8,1.0,llm_judge_score,4.537958145141602,0.00029009,410,61,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.2,20,219639,1098198
REACT_ONLY,9,0.0,llm_judge_score,9.825918912887573,0.00045679,406,275,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.2,20,219639,1098198
REACT_ONLY,10,1.0,llm_judge_score,22.655985116958618,0.00043522999999999994,419,238,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.2,20,219639,1098198
REACT_ONLY,11,0.0,llm_judge_score,82.51121401786804,0.00120113,974,793,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.2,20,219639,1098198
REACT_ONLY,12,0.0,llm_judge_score,8.870054006576538,0.00048522999999999996,406,311,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.2,20,219639,1098198
FLASH_FUSION,1,1.0,llm_judge_score,9.700243949890137,0.0020872200000000003,3302,176,True,False,N/A,"S1,S2,guardrail,S3,agent",0.7735443115234375,1.0526471138000488,3.102041006088257,0.5607540607452393,3.8732500076293945,773.5443115234375,1052.6471138000488,3102.041006088257,560.7540607452393,3873.2500076293945,wisdm,0.4,40,439279,1098198
FLASH_FUSION,2,1.0,llm_judge_score,17.974821090698242,0.0022210299999999997,3419,258,True,False,N/A,"S1,S2,guardrail,S3,agent",0.7142159938812256,4.8324689865112305,6.192316055297852,0.5227599143981934,5.429578065872192,714.2159938812256,4832.4689865112305,6192.316055297852,522.7599143981934,5429.578065872192,wisdm,0.4,40,439279,1098198
FLASH_FUSION,3,0.0,llm_judge_score,11.233650922775269,0.00200289,3143,188,True,False,N/A,"S1,S2,guardrail,S3,agent",0.9196531772613525,1.6405003070831299,4.765661001205444,0.559643030166626,3.0715250968933105,919.6531772613525,1640.5003070831299,4765.661001205444,559.643030166626,3071.5250968933105,wisdm,0.4,40,439279,1098198
FLASH_FUSION,4,1.0,llm_judge_score,15.947246074676514,0.0023642499999999996,3564,331,True,False,N/A,"S1,S2,guardrail,S3,agent",1.0299358367919922,1.7426047325134277,5.488546133041382,0.8795201778411865,6.52889609336853,1029.9358367919922,1742.6047325134277,5488.546133041382,879.5201778411865,6528.89609336853,wisdm,0.4,40,439279,1098198
FLASH_FUSION,5,1.0,llm_judge_score,37.96082901954651,0.0026877299999999997,3732,615,True,False,N/A,"S1,S2,guardrail,S3,agent",0.8816699981689453,2.71295428276062,3.0179121494293213,1.8642570972442627,29.20987820625305,881.6699981689453,2712.95428276062,3017.9121494293213,1864.2570972442627,29209.87820625305,wisdm,0.4,40,439279,1098198
FLASH_FUSION,6,0.0,llm_judge_score,37.916433334350586,0.0030579300000000004,4093,814,True,False,N/A,"S1,S2,guardrail,S3,agent",1.755600929260254,12.077834129333496,4.981711149215698,0.5178501605987549,18.30195927619934,1755.600929260254,12077.834129333496,4981.711149215698,517.8501605987549,18301.95927619934,wisdm,0.4,40,439279,1098198
FLASH_FUSION,7,0.0,guardrail_skip_unexpected_rejection,15.46596097946167,0.00112409,1691,160,False,True,N/A,"S1,S2,guardrail",1.4748077392578125,3.631446123123169,0.0,10.08281397819519,0.0,1474.8077392578125,3631.446123123169,0.0,10082.81397819519,0.0,wisdm,0.4,40,439279,1098198
FLASH_FUSION,8,1.0,llm_judge_score,37.51366376876831,0.00245855,3606,419,True,False,N/A,"S1,S2,guardrail,S3,agent",1.9398679733276367,5.778728246688843,14.43328309059143,0.6058318614959717,14.47428297996521,1939.8679733276367,5778.728246688843,14433.28309059143,605.8318614959717,14474.28297996521,wisdm,0.4,40,439279,1098198
FLASH_FUSION,9,1.0,guardrail_skip_expected_rejection,18.295461893081665,0.00117749,1740,191,False,True,N/A,"S1,S2,guardrail",1.0891029834747314,9.045590877532959,0.0,7.882292032241821,0.0,1089.1029834747314,9045.590877532959,0.0,7882.292032241821,0.0,wisdm,0.4,40,439279,1098198
FLASH_FUSION,10,1.0,guardrail_skip_expected_rejection,7.551573991775513,0.00110904,1707,129,False,True,N/A,"S1,S2,guardrail",1.345531940460205,1.8231360912322998,0.0,4.10024094581604,0.0,1345.531940460205,1823.1360912322998,0.0,4100.24094581604,0.0,wisdm,0.4,40,439279,1098198
FLASH_FUSION,11,1.0,guardrail_skip_expected_rejection,9.378630876541138,0.00126402,1809,249,False,True,N/A,"S1,S2,guardrail",2.6570708751678467,5.093602180480957,0.0,1.3738071918487549,0.0,2657.0708751678467,5093.602180480957,0.0,1373.8071918487549,0.0,wisdm,0.4,40,439279,1098198
FLASH_FUSION,12,1.0,guardrail_skip_expected_rejection,14.59800124168396,0.0012576800000000002,1817,235,False,True,N/A,"S1,S2,guardrail",1.0877840518951416,11.98729681968689,0.0,1.2363719940185547,0.0,1087.7840518951416,11987.29681968689,0.0,1236.3719940185547,0.0,wisdm,0.4,40,439279,1098198
REACT_ONLY,1,1.0,llm_judge_score,9.9950270652771,0.00025342999999999996,380,37,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.4,40,439279,1098198
REACT_ONLY,2,1.0,llm_judge_score,3.450234889984131,0.00027189999999999994,418,32,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.4,40,439279,1098198
REACT_ONLY,3,1.0,llm_judge_score,4.08306097984314,0.00028436,411,53,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.4,40,439279,1098198
REACT_ONLY,4,1.0,llm_judge_score,3.6982128620147705,0.00024652999999999996,375,32,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.4,40,439279,1098198
REACT_ONLY,5,1.0,llm_judge_score,21.56178617477417,0.00039642,380,218,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.4,40,439279,1098198
REACT_ONLY,6,0.0,llm_judge_score,29.003366231918335,0.00052041,396,363,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.4,40,439279,1098198
REACT_ONLY,7,1.0,llm_judge_score,33.94364333152771,0.00033478,388,134,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.4,40,439279,1098198
REACT_ONLY,8,1.0,llm_judge_score,9.992096185684204,0.00034146999999999997,398,135,True,False,N/A,react_agent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wisdm,0.4,40,439279,1098198
