baseline,dataset,fraction,fraction_tag,sample_rows,full_rows,avg_accuracy,avg_latency_s,avg_cost_usd,execution_rate,query_count
FLASH_FUSION,bus,0.2,20,243,1219,0.9166666666666666,21.200846672058105,0.0026605675,0.6666666666666666,12
FLASH_FUSION,bus,0.4,40,487,1219,0.9166666666666666,19.565354545911152,0.0026500191666666666,0.6666666666666666,12
FLASH_FUSION,bus,0.6,60,731,1219,0.8333333333333334,19.15609759092331,0.0028656800000000002,0.75,12
FLASH_FUSION,bus,0.8,80,975,1219,0.8333333333333334,15.917767882347107,0.0027010566666666666,0.6666666666666666,12
FLASH_FUSION,bus,1.0,100,1219,1219,0.9166666666666666,16.502542356650036,0.0027144733333333334,0.6666666666666666,12
FLASH_FUSION,mit_ecg,0.2,20,5200000,26000000,0.6666666666666666,24.782158315181732,0.0015560166666666667,0.5,12
FLASH_FUSION,mit_ecg,0.4,40,10400000,26000000,0.75,19.858005821704865,0.00188516,0.75,12
FLASH_FUSION,mit_ecg,0.6,60,15600000,26000000,0.75,30.715386748313904,0.001714236666666667,0.5833333333333334,12
FLASH_FUSION,mit_ecg,0.8,80,20800000,26000000,0.9166666666666666,31.94327614704768,0.001693725,0.5833333333333334,12
FLASH_FUSION,mit_ecg,1.0,100,26000000,26000000,0.9166666666666666,34.853444715340935,0.0017267466666666669,0.5833333333333334,12
FLASH_FUSION,wisdm,0.2,20,219639,1098198,0.6666666666666666,16.60796280701955,0.0015552258333333333,0.3333333333333333,12
FLASH_FUSION,wisdm,0.4,40,439279,1098198,0.75,19.461376428604126,0.001900993333333333,0.5833333333333334,12
FLASH_FUSION,wisdm,0.6,60,658918,1098198,1.0,26.455051839351654,0.0020205425,0.6666666666666666,12
FLASH_FUSION,wisdm,0.8,80,878558,1098198,1.0,19.82012673219045,0.002002613333333333,0.6666666666666666,12
FLASH_FUSION,wisdm,1.0,100,1098198,1098198,1.0,18.008344252904255,0.0020037991666666667,0.6666666666666666,12
REACT_ONLY,bus,0.2,20,243,1219,0.75,12.149683078130087,0.0006712216666666667,1.0,12
REACT_ONLY,bus,0.4,40,487,1219,0.6666666666666666,8.918571809927622,0.0007050008333333332,1.0,12
REACT_ONLY,bus,0.6,60,731,1219,0.75,17.911729951699574,0.0008689775,1.0,12
REACT_ONLY,bus,0.8,80,975,1219,0.6666666666666666,13.81200498342514,0.00077241,1.0,12
REACT_ONLY,bus,1.0,100,1219,1219,0.5833333333333334,14.451049784819284,0.0007449841666666667,1.0,12
REACT_ONLY,mit_ecg,0.2,20,5200000,26000000,0.5,9.75292976697286,0.00037767583333333333,1.0,12
REACT_ONLY,mit_ecg,0.4,40,10400000,26000000,0.5833333333333334,8.942103087902069,0.0003685966666666666,1.0,12
REACT_ONLY,mit_ecg,0.6,60,15600000,26000000,0.4166666666666667,20.55794147650401,0.0003988116666666667,1.0,12
REACT_ONLY,mit_ecg,0.8,80,20800000,26000000,0.5833333333333334,27.069704055786133,0.0003772258333333333,1.0,12
REACT_ONLY,mit_ecg,1.0,100,26000000,26000000,0.5833333333333334,25.199407637119293,0.0003794075,1.0,12
REACT_ONLY,wisdm,0.2,20,219639,1098198,0.6666666666666666,15.317331512769064,0.00042873166666666665,1.0,12
REACT_ONLY,wisdm,0.4,40,439279,1098198,0.5833333333333334,21.957587718963623,0.00048624749999999993,1.0,12
REACT_ONLY,wisdm,0.6,60,658918,1098198,0.5833333333333334,13.784531672795614,0.00037681916666666666,1.0,12
REACT_ONLY,wisdm,0.8,80,878558,1098198,0.8333333333333334,13.900414685408274,0.00045700999999999994,1.0,12
REACT_ONLY,wisdm,1.0,100,1098198,1098198,0.75,13.097047607103983,0.0004200375,1.0,12
