run_id,baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run
1,AUTOIOT_ONLY,1,1.0,llm_judge_score,2.0483570098876953,0.00015089,237,14,True,False,,agent
1,AUTOIOT_ONLY,2,1.0,llm_judge_score,2.0964176654815674,0.00014694,237,9,True,False,,agent
1,AUTOIOT_ONLY,3,1.0,llm_judge_score,2.0492920875549316,0.0001506899999999,238,13,True,False,,agent
1,AUTOIOT_ONLY,4,1.0,llm_judge_score,2.177161931991577,0.00015779,242,19,True,False,,agent
1,AUTOIOT_ONLY,5,1.0,llm_judge_score,2.2996768951416016,0.00018558,265,37,True,False,,agent
1,AUTOIOT_ONLY,6,1.0,llm_judge_score,4.239231109619141,0.0003505999999999,538,42,True,False,,agent
1,AUTOIOT_ONLY,7,1.0,llm_judge_score,2.0824363231658936,0.00017255,263,22,True,False,,agent
1,AUTOIOT_ONLY,8,0.0,llm_judge_score,2.408842086791992,0.00019982,257,61,True,False,,agent
1,AUTOIOT_ONLY,9,0.0,llm_judge_score,2.298795700073242,0.00016332,242,26,True,False,,agent
1,AUTOIOT_ONLY,10,1.0,llm_judge_score,5.464766979217529,0.0005280899999999,484,307,True,False,,agent
1,AUTOIOT_ONLY,11,0.0,llm_judge_score,4.898930072784424,0.00043329,484,187,True,False,,agent
1,AUTOIOT_ONLY,12,0.0,llm_judge_score,4.381186008453369,0.00035309,253,258,True,False,,agent
2,AUTOIOT_ONLY,1,1.0,llm_judge_score,2.0829601287841797,0.00015089,237,14,True,False,,agent
2,AUTOIOT_ONLY,2,1.0,llm_judge_score,2.0356969833374023,0.00015089,237,14,True,False,,agent
2,AUTOIOT_ONLY,3,1.0,llm_judge_score,1.9819200038909912,0.0001506899999999,238,13,True,False,,agent
2,AUTOIOT_ONLY,4,1.0,llm_judge_score,2.3328189849853516,0.00015779,242,19,True,False,,agent
2,AUTOIOT_ONLY,5,1.0,llm_judge_score,2.135234832763672,0.00018558,265,37,True,False,,agent
2,AUTOIOT_ONLY,6,1.0,llm_judge_score,4.102696180343628,0.0003505999999999,538,42,True,False,,agent
2,AUTOIOT_ONLY,7,1.0,llm_judge_score,2.1242411136627197,0.00017255,263,22,True,False,,agent
2,AUTOIOT_ONLY,8,0.0,llm_judge_score,2.4070959091186523,0.00019903,257,60,True,False,,agent
2,AUTOIOT_ONLY,9,0.0,llm_judge_score,2.3746559619903564,0.00021783,242,95,True,False,,agent
2,AUTOIOT_ONLY,10,0.0,llm_judge_score,2.424715995788574,0.00024924,239,137,True,False,,agent
2,AUTOIOT_ONLY,11,0.0,llm_judge_score,4.697977066040039,0.0003841799999999,457,145,True,False,,agent
2,AUTOIOT_ONLY,12,0.0,llm_judge_score,3.746216058731079,0.00031124,245,211,True,False,,agent
3,AUTOIOT_ONLY,1,1.0,llm_judge_score,1.9545867443084717,0.00015089,237,14,True,False,,agent
3,AUTOIOT_ONLY,2,1.0,llm_judge_score,2.0341999530792236,0.00014694,237,9,True,False,,agent
3,AUTOIOT_ONLY,3,1.0,llm_judge_score,2.016456842422486,0.0001506899999999,238,13,True,False,,agent
3,AUTOIOT_ONLY,4,1.0,llm_judge_score,2.200968980789185,0.00015779,242,19,True,False,,agent
3,AUTOIOT_ONLY,5,1.0,llm_judge_score,2.2083959579467773,0.00018558,265,37,True,False,,agent
3,AUTOIOT_ONLY,6,0.0,llm_judge_score,2.8147428035736084,0.0002045499999999,261,64,True,False,,agent
3,AUTOIOT_ONLY,7,1.0,llm_judge_score,2.2511277198791504,0.00017255,263,22,True,False,,agent
3,AUTOIOT_ONLY,8,0.0,llm_judge_score,29.05200695991516,0.00016506,257,17,True,False,,agent
3,AUTOIOT_ONLY,9,0.0,llm_judge_score,2.0921437740325928,0.00016095,242,23,True,False,,agent
3,AUTOIOT_ONLY,10,0.0,llm_judge_score,8.0139319896698,0.00079992,693,495,True,False,,agent
3,AUTOIOT_ONLY,11,1.0,llm_judge_score,6.390340089797974,0.00053925,681,174,True,False,,agent
3,AUTOIOT_ONLY,12,0.0,llm_judge_score,3.7454030513763423,0.00030413,245,202,True,False,,agent
