baseline,dataset,query_type,mean,std,n_runs
FLASH_FUSION,bus,Direct,83.33333333333333,14.433756729740644,3
REACT_ONLY,bus,Direct,75.0,0.0,3
AUTOIOT_PAPER,bus,Direct,83.33333333333333,14.433756729740644,3
FLASH_FUSION,bus,Reasoning,50.0,0.0,3
REACT_ONLY,bus,Reasoning,83.33333333333333,14.433756729740647,3
AUTOIOT_PAPER,bus,Reasoning,50.0,25.0,3
FLASH_FUSION,bus,Out-of-Scope,75.0,25.0,3
REACT_ONLY,bus,Out-of-Scope,0.0,0.0,3
AUTOIOT_PAPER,bus,Out-of-Scope,8.333333333333334,14.433756729740644,3
FLASH_FUSION,bus,Predictive,8.333333333333334,14.433756729740644,3
REACT_ONLY,bus,Predictive,100.0,0.0,3
AUTOIOT_PAPER,bus,Predictive,75.0,0.0,3
FLASH_FUSION,wisdm,Direct,100.0,0.0,3
REACT_ONLY,wisdm,Direct,100.0,0.0,3
AUTOIOT_PAPER,wisdm,Direct,66.66666666666667,14.433756729740644,3
FLASH_FUSION,wisdm,Reasoning,66.66666666666667,14.433756729740644,3
REACT_ONLY,wisdm,Reasoning,91.66666666666667,14.433756729740647,3
AUTOIOT_PAPER,wisdm,Reasoning,16.666666666666668,14.433756729740644,3
FLASH_FUSION,wisdm,Out-of-Scope,91.66666666666667,14.433756729740644,3
REACT_ONLY,wisdm,Out-of-Scope,25.0,25.0,3
AUTOIOT_PAPER,wisdm,Out-of-Scope,0.0,0.0,3
FLASH_FUSION,wisdm,Predictive,50.0,0.0,3
REACT_ONLY,wisdm,Predictive,50.0,0.0,3
AUTOIOT_PAPER,wisdm,Predictive,8.333333333333334,14.433756729740644,3
FLASH_FUSION,ecg,Direct,91.66666666666667,14.433756729740647,3
REACT_ONLY,ecg,Direct,100.0,0.0,3
AUTOIOT_PAPER,ecg,Direct,91.66666666666667,14.433756729740647,3
FLASH_FUSION,ecg,Reasoning,50.0,25.0,3
REACT_ONLY,ecg,Reasoning,75.0,0.0,3
AUTOIOT_PAPER,ecg,Reasoning,25.0,25.0,3
FLASH_FUSION,ecg,Out-of-Scope,91.66666666666667,14.433756729740647,3
REACT_ONLY,ecg,Out-of-Scope,25.0,0.0,3
AUTOIOT_PAPER,ecg,Out-of-Scope,0.0,0.0,3
FLASH_FUSION,ecg,Predictive,33.333333333333336,14.433756729740644,3
REACT_ONLY,ecg,Predictive,41.666666666666664,28.867513459481287,3
AUTOIOT_PAPER,ecg,Predictive,58.333333333333336,14.433756729740644,3
