baseline,dataset,mean,std,n_runs
FLASH_FUSION,bus,75.0,0.0,3
AUTOIOT_PAPER,bus,54.166666666666664,9.547032697824665,3
REACT_ONLY,bus,91.66666666666667,3.608439182435163,3
HARGPT_PAPER,bus,29.166666666666668,3.608439182435162,3
LLMSENSE_PAPER,bus,27.083333333333332,3.608439182435162,3
FLASH_FUSION,wisdm,75.0,6.25,3
AUTOIOT_PAPER,wisdm,22.916666666666668,9.547032697824667,3
REACT_ONLY,wisdm,91.66666666666667,3.60843918243516,3
HARGPT_PAPER,wisdm,16.666666666666668,9.547032697824667,3
LLMSENSE_PAPER,wisdm,0.0,0.0,3
FLASH_FUSION,ecg,83.33333333333333,9.547032697824667,3
AUTOIOT_PAPER,ecg,43.75,6.25,3
REACT_ONLY,ecg,79.16666666666667,9.547032697824667,3
HARGPT_PAPER,ecg,16.666666666666668,7.216878364870322,3
LLMSENSE_PAPER,ecg,25.0,0.0,3
