baseline,query_type,mean,std,n
FLASH_FUSION,Direct,90.41666666666667,9.270248108869579,5
AUTOIOT_PAPER,Direct,87.03703703703702,7.849065663512028,9
REACT_ONLY,Direct,87.5,11.967838846954225,7
HARGPT_PAPER,Direct,61.388888888888886,5.777260259942519,9
LLMSENSE_PAPER,Direct,61.388888888888886,5.777260259942519,9
FLASH_FUSION,Reasoning,85.41666666666666,11.219093348196884,5
AUTOIOT_PAPER,Reasoning,56.71296296296296,10.087388226620797,9
REACT_ONLY,Reasoning,88.09523809523809,19.158901118370338,7
HARGPT_PAPER,Reasoning,38.611111111111114,7.192781875680028,9
LLMSENSE_PAPER,Reasoning,38.611111111111114,7.192781875680028,9
FLASH_FUSION,Predictive,100.0,0.0,5
AUTOIOT_PAPER,Predictive,47.22222222222222,11.967838846954232,9
REACT_ONLY,Predictive,83.92857142857143,18.700331038577392,7
FLASH_FUSION,Out-of-Scope,90.83333333333333,8.53912563829967,5
AUTOIOT_PAPER,Out-of-Scope,34.95370370370371,9.18663649675205,9
REACT_ONLY,Out-of-Scope,95.23809523809523,12.598815766974237,7
HARGPT_PAPER,Out-of-Scope,49.30555555555556,13.990944491984012,9
LLMSENSE_PAPER,Out-of-Scope,49.30555555555556,13.990944491984012,9
