baseline,query_type,mean,std,n,uses_estimate,stage
FLASH_FUSION,Direct,6.985846373769972,5.314778263253769,9,False,Grounding
FLASH_FUSION,Direct,2.2223324179649353,1.425767575895157,9,False,Validation
FLASH_FUSION,Direct,6.183241393831041,6.458461530819071,9,False,Planning
FLASH_FUSION,Direct,6.6993720928827925,4.394666018368751,9,False,Execution
AUTOIOT_PAPER,Direct,93.56552447102688,37.95209418809933,9,True,Grounding
AUTOIOT_PAPER,Direct,0.0,0.0,9,True,Validation
AUTOIOT_PAPER,Direct,280.6965734130806,113.856282564298,9,True,Planning
AUTOIOT_PAPER,Direct,187.13104894205375,75.90418837619866,9,True,Execution
REACT_ONLY,Direct,0.0,0.0,9,False,Grounding
REACT_ONLY,Direct,0.0,0.0,9,False,Validation
REACT_ONLY,Direct,0.0,0.0,9,False,Planning
REACT_ONLY,Direct,5.141192535559337,2.8946410093342982,9,False,Execution
FLASH_FUSION,Reasoning,8.841562449932098,4.229745617795984,9,False,Grounding
FLASH_FUSION,Reasoning,2.4833127525117664,2.4206273813747914,9,False,Validation
FLASH_FUSION,Reasoning,8.758088337050545,3.0265509321821122,9,False,Planning
FLASH_FUSION,Reasoning,10.808769093619453,4.108198238954177,9,False,Execution
AUTOIOT_PAPER,Reasoning,141.72790743134638,32.93442281022187,9,True,Grounding
AUTOIOT_PAPER,Reasoning,0.0,0.0,9,True,Validation
AUTOIOT_PAPER,Reasoning,425.18372229403917,98.80326843066564,9,True,Planning
AUTOIOT_PAPER,Reasoning,283.45581486269276,65.86884562044374,9,True,Execution
REACT_ONLY,Reasoning,0.0,0.0,9,False,Grounding
REACT_ONLY,Reasoning,0.0,0.0,9,False,Validation
REACT_ONLY,Reasoning,0.0,0.0,9,False,Planning
REACT_ONLY,Reasoning,7.728833178679149,2.113164303688607,9,False,Execution
FLASH_FUSION,Out-of-Scope,10.288115395439995,5.817420730589534,9,False,Grounding
FLASH_FUSION,Out-of-Scope,3.9652552670902677,2.2917986454379005,9,False,Validation
FLASH_FUSION,Out-of-Scope,0.7309270898501078,1.1459770814241332,9,False,Planning
FLASH_FUSION,Out-of-Scope,0.9788283374574449,1.693213275086883,9,False,Execution
AUTOIOT_PAPER,Out-of-Scope,156.3371690235756,51.900429256006774,9,True,Grounding
AUTOIOT_PAPER,Out-of-Scope,0.0,0.0,9,True,Validation
AUTOIOT_PAPER,Out-of-Scope,469.0115070707268,155.70128776802034,9,True,Planning
AUTOIOT_PAPER,Out-of-Scope,312.6743380471512,103.80085851201355,9,True,Execution
REACT_ONLY,Out-of-Scope,0.0,0.0,9,False,Grounding
REACT_ONLY,Out-of-Scope,0.0,0.0,9,False,Validation
REACT_ONLY,Out-of-Scope,0.0,0.0,9,False,Planning
REACT_ONLY,Out-of-Scope,16.455545292960274,8.19822309163138,9,False,Execution
