algorithm,dataset,query_id,version,case_id,tier,expected_match_id,predicted_match_id,decision,predicted_query_id,correct_match,authorized_hit,false_positive_reuse,abstained,total_match_ms,error
hybrid,bus,1,v1,bus-1-v1,unspecified,1,1,exact_hit,1,True,True,False,False,0.026749999960884452,
hybrid,bus,1,v2,bus-1-v2,unspecified,1,1,hybrid_hit,1,True,True,False,False,10.383916999671783,
hybrid,bus,1,v3,bus-1-v3,unspecified,1,1,hybrid_hit,1,True,True,False,False,6.254542000533547,
hybrid,bus,2,v1,bus-2-v1,unspecified,2,2,exact_hit,2,True,True,False,False,0.011125000128231477,
hybrid,bus,2,v2,bus-2-v2,unspecified,2,2,hybrid_hit,2,True,True,False,False,6.311083000582585,
hybrid,bus,2,v3,bus-2-v3,unspecified,2,2,hybrid_hit,2,True,True,False,False,5.842874999871128,
hybrid,bus,3,v1,bus-3-v1,unspecified,3,3,exact_hit,3,True,True,False,False,0.011750000339816324,
hybrid,bus,3,v2,bus-3-v2,unspecified,3,3,hybrid_hit,3,True,True,False,False,6.083624999519088,
hybrid,bus,3,v3,bus-3-v3,unspecified,3,3,hybrid_hit,3,True,True,False,False,6.480250000095111,
hybrid,bus,4,v1,bus-4-v1,unspecified,4,4,exact_hit,4,True,True,False,False,0.009917000170389656,
hybrid,bus,4,v2,bus-4-v2,unspecified,4,4,hybrid_hit,4,True,True,False,False,6.339667000247573,
hybrid,bus,4,v3,bus-4-v3,unspecified,4,4,hybrid_hit,4,True,True,False,False,6.184290999954101,
hybrid,bus,5,v1,bus-5-v1,unspecified,5,5,exact_hit,5,True,True,False,False,0.012040999536111485,
hybrid,bus,5,v2,bus-5-v2,unspecified,5,5,hybrid_hit,5,True,True,False,False,6.3505420002911706,
hybrid,bus,5,v3,bus-5-v3,unspecified,5,5,exact_hit,5,True,True,False,False,0.009207999937643763,
hybrid,bus,6,v1,bus-6-v1,unspecified,6,6,exact_hit,6,True,True,False,False,0.009499999578110874,
hybrid,bus,6,v2,bus-6-v2,unspecified,6,6,hybrid_hit,6,True,True,False,False,6.880791999719804,
hybrid,bus,6,v3,bus-6-v3,unspecified,6,6,hybrid_hit,6,True,True,False,False,6.307416000709054,
hybrid,bus,7,v1,bus-7-v1,unspecified,7,7,exact_hit,7,True,True,False,False,0.011082999662903603,
hybrid,bus,7,v2,bus-7-v2,unspecified,7,7,hybrid_hit,7,True,True,False,False,6.199417000061658,
hybrid,bus,7,v3,bus-7-v3,unspecified,7,7,hybrid_hit,7,True,True,False,False,6.325125000330445,
hybrid,bus,8,v1,bus-8-v1,unspecified,8,8,exact_hit,8,True,True,False,False,0.012749999768857379,
hybrid,bus,8,v2,bus-8-v2,unspecified,8,8,exact_hit,8,True,True,False,False,0.0111660001493874,
hybrid,bus,8,v3,bus-8-v3,unspecified,8,8,hybrid_hit,8,True,True,False,False,6.97962499998539,
hybrid,bus,13,v1,bus-13-v1,unspecified,13,13,exact_hit,13,True,True,False,False,0.013208000382292084,
hybrid,bus,13,v2,bus-13-v2,unspecified,13,13,hybrid_hit,13,True,True,False,False,8.865624999998545,
hybrid,bus,13,v3,bus-13-v3,unspecified,13,13,hybrid_hit,13,True,True,False,False,8.61387500026467,
hybrid,bus,14,v1,bus-14-v1,unspecified,14,14,exact_hit,14,True,True,False,False,0.010707999535952695,
hybrid,bus,14,v2,bus-14-v2,unspecified,14,14,hybrid_hit,14,True,True,False,False,8.580917000472255,
hybrid,bus,14,v3,bus-14-v3,unspecified,14,14,hybrid_hit,14,True,True,False,False,8.569458000238228,
hybrid,bus,15,v1,bus-15-v1,unspecified,15,15,exact_hit,15,True,True,False,False,0.010208999810856767,
hybrid,bus,15,v2,bus-15-v2,unspecified,15,15,hybrid_hit,15,True,True,False,False,8.85408300018753,
hybrid,bus,15,v3,bus-15-v3,unspecified,15,15,hybrid_hit,15,True,True,False,False,9.62974999947619,
hybrid,bus,16,v1,bus-16-v1,unspecified,16,16,exact_hit,16,True,True,False,False,0.012208000043756329,
hybrid,bus,16,v2,bus-16-v2,unspecified,16,16,hybrid_hit,16,True,True,False,False,9.27608300025895,
hybrid,bus,16,v3,bus-16-v3,unspecified,16,16,hybrid_hit,16,True,True,False,False,8.887207999578095,
