baseline,dataset,mean,std,n_runs
FLASH_FUSION,bus,96.35416666666667,3.2526031241658337,3
AUTOIOT_PAPER,bus,56.94444444444445,1.202813060811725,3
REACT_ONLY,bus,50.0,0.0,3
HARGPT_PAPER,bus,52.361111111111114,2.511547405559044,3
LLMSENSE_PAPER,bus,52.361111111111114,2.511547405559044,3
FLASH_FUSION,wisdm,100.0,0.0,3
AUTOIOT_PAPER,wisdm,55.38194444444445,3.139434256948807,3
REACT_ONLY,wisdm,58.854166666666664,3.2526031241658333,3
HARGPT_PAPER,wisdm,43.888888888888886,1.924500897298753,3
LLMSENSE_PAPER,wisdm,43.888888888888886,1.924500897298753,3
FLASH_FUSION,ecg,82.29166666666667,1.8042195912175816,3
AUTOIOT_PAPER,ecg,57.118055555555564,9.379821291138962,3
REACT_ONLY,ecg,40.104166666666664,3.2526031241658315,3
HARGPT_PAPER,ecg,53.05555555555555,1.7347216662217788,3
LLMSENSE_PAPER,ecg,53.05555555555555,1.7347216662217788,3
