baseline,query_type,mean,std,n
FLASH_FUSION,Direct,100.0,0.0,9
FLASH_FUSION_CACHE,Direct,91.66666666666667,12.500000000000002,9
FLASH_FUSION_CACHE_HIT,Direct,91.66666666666667,12.500000000000002,9
FLASH_FUSION_CACHE_MISS,Direct,100.0,0.0,2
AUTOIOT_PAPER,Direct,87.03703703703702,7.849065663512028,9
REACT_ONLY,Direct,91.66666666666667,12.499999999999998,9
HARGPT_PAPER,Direct,61.388888888888886,5.777260259942519,9
LLMSENSE_PAPER,Direct,61.388888888888886,5.777260259942519,9
FLASH_FUSION,Reasoning,95.13888888888889,9.771699499632145,9
FLASH_FUSION_CACHE,Reasoning,85.41666666666667,13.975424859373685,9
FLASH_FUSION_CACHE_HIT,Reasoning,85.18518518518518,14.299486306926388,9
FLASH_FUSION_CACHE_MISS,Reasoning,100.0,0.0,2
AUTOIOT_PAPER,Reasoning,56.71296296296296,10.087388226620797,9
REACT_ONLY,Reasoning,80.55555555555556,23.47797431163468,9
HARGPT_PAPER,Reasoning,38.611111111111114,7.192781875680028,9
LLMSENSE_PAPER,Reasoning,38.611111111111114,7.192781875680028,9
FLASH_FUSION,Predictive,100.0,0.0,9
FLASH_FUSION_CACHE,Predictive,100.0,0.0,9
FLASH_FUSION_CACHE_HIT,Predictive,100.0,0.0,9
FLASH_FUSION_CACHE_MISS,Predictive,100.0,0.0,2
AUTOIOT_PAPER,Predictive,47.22222222222222,11.967838846954232,9
REACT_ONLY,Predictive,58.333333333333336,45.069390943299865,9
FLASH_FUSION,Out-of-Scope,100.0,0.0,9
FLASH_FUSION_CACHE,Out-of-Scope,100.0,0.0,9
FLASH_FUSION_CACHE_HIT,Out-of-Scope,100.0,0.0,9
AUTOIOT_PAPER,Out-of-Scope,34.95370370370371,9.18663649675205,9
REACT_ONLY,Out-of-Scope,100.0,0.0,9
HARGPT_PAPER,Out-of-Scope,49.30555555555556,13.990944491984012,9
LLMSENSE_PAPER,Out-of-Scope,49.30555555555556,13.990944491984012,9
