baseline,query_type,mean,std,n
FLASH_FUSION,Direct,2.5655539102024503,0.525617324707243,9
AUTOIOT_PAPER,Direct,109.48762275499327,16.649620489098076,9
REACT_ONLY,Direct,11.174408629536629,6.29466325408772,9
FLASH_FUSION,Reasoning,4.299535524513987,0.5800382044356498,9
AUTOIOT_PAPER,Reasoning,167.57669297026263,24.900412689234756,9
REACT_ONLY,Reasoning,13.114990580413076,7.794887948977718,9
FLASH_FUSION,Predictive,6.684449265400569,2.602508836681199,9
AUTOIOT_PAPER,Predictive,274.12864530638416,72.11139854396393,9
REACT_ONLY,Predictive,63.16304066280524,59.73096976556582,9
FLASH_FUSION,Out-of-Scope,2.2570126255353293,0.12264984788432735,9
AUTOIOT_PAPER,Out-of-Scope,251.32443296578197,113.62145979906767,9
REACT_ONLY,Out-of-Scope,4.260200396180153,3.5365406552469527,9
