baseline,mean,std,n,uses_estimate,stage
FLASH_FUSION,0.3044601382480727,0.017980542685175814,9,False,Grounding
FLASH_FUSION,0.3044601382480727,0.017980542685175814,9,False,Validation
FLASH_FUSION,2.434013329115179,0.1430644474862113,9,False,Planning
FLASH_FUSION,0.9087042258017592,0.7840749641987999,9,False,Execution
FLASH_FUSION_CACHE_HIT,1.9989793343092868,0.6317517462485144,9,False,Grounding
FLASH_FUSION_CACHE_HIT,0.11973169040314607,0.0600236098245834,9,False,Validation
FLASH_FUSION_CACHE_HIT,0.0,0.0,9,False,Planning
FLASH_FUSION_CACHE_HIT,1.3192830516351048,1.4232453199090072,9,False,Execution
FLASH_FUSION_CACHE_MISS,1.7046683812921648,1.0277278592269194,9,False,Grounding
FLASH_FUSION_CACHE_MISS,0.3662153301181368,0.12116109807375362,9,False,Validation
FLASH_FUSION_CACHE_MISS,2.471222280063869,0.6107219187723559,9,False,Planning
FLASH_FUSION_CACHE_MISS,3.7766107268374927,4.323906620418278,9,False,Execution
