baseline,mean,std,n,uses_estimate,stage
FLASH_FUSION,0.3044601382480727,0.017980542685175814,9,False,Grounding
FLASH_FUSION,0.3044601382480727,0.017980542685175814,9,False,Validation
FLASH_FUSION,2.434013329115179,0.1430644474862113,9,False,Planning
FLASH_FUSION,0.9087042258017592,0.7840749641987999,9,False,Execution
FLASH_FUSION_CACHE_HIT,3.260713700486028,1.2449824866219859,9,False,Grounding
FLASH_FUSION_CACHE_HIT,0.0381240209533885,0.0380711769260163,9,False,Validation
FLASH_FUSION_CACHE_HIT,0.0,0.0,9,False,Planning
FLASH_FUSION_CACHE_HIT,1.2725396634250874,1.2029133928307785,9,False,Execution
FLASH_FUSION_CACHE_MISS,1.144350217652048,0.6843492702756797,9,False,Grounding
FLASH_FUSION_CACHE_MISS,0.6321179761066501,0.2853795732183793,9,False,Validation
FLASH_FUSION_CACHE_MISS,1.3563656329244393,0.7716997634792475,9,False,Planning
FLASH_FUSION_CACHE_MISS,0.5895906433706412,0.27628978534763365,9,False,Execution
REACT_ONLY,0.0,0.0,9,False,Grounding
REACT_ONLY,2.2928160067233776,1.4780242577636176,9,False,Validation
REACT_ONLY,0.0,0.0,9,False,Planning
REACT_ONLY,20.6353440605104,13.302218319872557,9,False,Execution
